fact_unit,2020-05-08,2020-07-31,2020-10-28,2021-02-05,2021-04-28,2021-07-28,2021-10-26,2022-02-04,2022-04-27,2022-07-28,2022-10-27,2023-02-03,2023-04-27,2023-07-27,2023-10-26,2024-02-02,2024-04-25,2024-07-25,2024-10-31,2025-02-04,2025-04-24,2025-07-24,2025-10-30
DeferredTaxLiabilitiesOther / USD,,,,298000000.0,,,,335000000.0,,,,284000000.0,,,,294000000.0,,,,258000000.0,,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,1000000000.0,,,,1100000000.0,,,,1000000000.0,,,,800000000.0,,,,800000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax / USD,,,,234000000.0,,,,279000000.0,,,,178000000.0,,,,13000000.0,,,,104000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax / USD,,,,-236000000.0,,,,-280000000.0,,,,-176000000.0,,,,-12000000.0,,,,-103000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax / USD,,,,-2000000.0,,,,-1000000.0,,,,2000000.0,,,,1000000.0,,,,1000000.0,,,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,76000000.0,,,,24000000.0,,,,43000000.0,,,,-46000000.0,,,,13000000.0,,,
DefinedBenefitPlanActuarialGainLoss / USD,,,,-81000000.0,,,,-40000000.0,,,,50000000.0,,,,216000000.0,,,,-75000000.0,,,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,,,,,,,,-522000000.0,,,,-436000000.0,,,,-264000000.0,,,,-348000000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,,,0.015,,,,0.011,,,,0.015,,,,0.038,,,,0.034,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease / pure,,,,0.031,,,,0.03,,,,0.03,,,,0.031,,,,0.032,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationWeightedAverageInterestCreditingRate / pure,,,,0.007,,,,0.006,,,,0.01,,,,0.021,,,,0.017,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,,,,0.024,,,,0.025,,,,0.015,,,,0.011,,,,0.015,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets / pure,,,,0.052,,,,0.052,,,,0.045,,,,0.036,,,,0.042,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease / pure,,,,0.033,,,,0.033,,,,0.031,,,,0.03,,,,0.03,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostWeightedAverageInterestCreditingRate / pure,,,,0.015,,,,0.015,,,,0.007,,,,0.006,,,,0.012,,,
DefinedBenefitPlanBenefitObligation / USD,,,,869000000.0,,,,1092000000.0,,,,1225000000.0,,,,1126000000.0,,,,853000000.0,,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,,,,30000000.0,,,,28000000.0,,,,24000000.0,,,,30000000.0,,,,35000000.0,,,
DefinedBenefitPlanContributionsByEmployer / USD,10000000.0,18000000.0,25000000.0,34000000.0,10000000.0,20000000.0,28000000.0,32000000.0,13000000.0,18000000.0,23000000.0,64000000.0,12000000.0,21000000.0,28000000.0,37000000.0,14000000.0,24000000.0,32000000.0,33000000.0,12000000.0,24000000.0,34000000.0
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,30000000.0,,,,34000000.0,,,,38000000.0,,,,34000000.0,,,,44000000.0,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,444000000.0,,,,622000000.0,,,,703000000.0,,,,690000000.0,,,,589000000.0,,,
