fact_unit,2009-08-14,2009-11-05,2010-03-01,2010-05-07,2010-08-02,2010-11-02,2011-02-28,2011-05-04,2011-08-03,2011-11-03,2012-02-27,2012-05-02,2012-07-30,2012-11-06,2013-02-26,2013-05-03,2013-07-31,2013-10-31,2014-02-27,2014-05-01,2014-07-31,2014-10-29,2015-02-26,2015-05-04,2015-07-30,2015-11-04,2016-02-25,2016-05-04,2016-07-28,2016-10-24,2017-02-24,2017-05-09,2017-07-27,2017-11-09,2018-02-27,2018-05-01,2018-08-02,2018-10-31,2019-02-25,2019-05-02,2019-08-02,2019-11-01,2020-02-24,2020-05-01,2020-07-31,2020-10-30,2021-02-22,2021-04-29,2021-07-30,2021-10-29,2022-02-22,2022-05-02,2022-07-27,2022-10-26,2023-02-15,2023-04-26,2023-07-26,2023-10-26,2024-02-14,2024-05-02,2024-07-24,2024-10-23,2025-02-14,2025-04-23,2025-07-24,2025-10-23
NumberOfOperatingSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NumberOfReportableSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
NumberOfReportingUnits / reportingUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,7.0,,,,4.0,,,,4.0,,,,4.0,,,,4.0,,,
OperatingIncomeLoss / USD,433000000.0,622800000.0,1131000000.0,148900000.0,336100000.0,508600000.0,748200000.0,196800000.0,387300000.0,576200000.0,687500000.0,250100000.0,520200000.0,716300000.0,772800000.0,269000000.0,547500000.0,817200000.0,888400000.0,280400000.0,631200000.0,922700000.0,1077400000.0,333000000.0,744700000.0,1094400000.0,1234600000.0,371300000.0,790600000.0,1140300000.0,1439100000.0,304100000.0,714300000.0,1111800000.0,1473400000.0,446700000.0,906800000.0,1355300000.0,650900000.0,490800000.0,1024800000.0,1491600000.0,1821000000.0,462000000.0,945000000.0,1494000000.0,1868000000.0,592000000.0,1302000000.0,1944000000.0,1998000000.0,853000000.0,1654000000.0,2330000000.0,2388000000.0,656000000.0,1164000000.0,1577000000.0,2844000000.0,554000000.0,1104000000.0,1639000000.0,1883000000.0,801000000.0,1576000000.0,2314000000.0
OperatingLeaseCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24600000.0,49100000.0,73300000.0,97000000.0,25000000.0,49000000.0,73000000.0,97000000.0,24000000.0,48000000.0,72000000.0,97000000.0,24000000.0,47000000.0,71000000.0,96000000.0,27000000.0,52000000.0,77000000.0,98000000.0,24000000.0,47000000.0,70000000.0,102000000.0,22000000.0,43000000.0,66000000.0
OperatingLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610900000.0,599300000.0,584500000.0,574000000.0,552000000.0,541000000.0,530000000.0,521000000.0,500000000.0,478000000.0,573000000.0,560000000.0,546000000.0,526000000.0,493000000.0,474000000.0,455000000.0,449000000.0,421000000.0,414000000.0,389000000.0,362000000.0,354000000.0,318000000.0,313000000.0,315000000.0,380000000.0
OperatingLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87400000.0,89100000.0,89500000.0,89000000.0,89000000.0,89000000.0,89000000.0,89000000.0,94000000.0,94000000.0,94000000.0,94000000.0,105000000.0,105000000.0,105000000.0,105000000.0,106000000.0,106000000.0,106000000.0,106000000.0,108000000.0,108000000.0,108000000.0,108000000.0,102000000.0,102000000.0,102000000.0
OperatingLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523500000.0,510200000.0,495000000.0,485000000.0,485000000.0,485000000.0,485000000.0,485000000.0,427000000.0,427000000.0,427000000.0,427000000.0,455000000.0,455000000.0,455000000.0,455000000.0,368000000.0,368000000.0,368000000.0,368000000.0,306000000.0,306000000.0,306000000.0,306000000.0,216000000.0,216000000.0,216000000.0
OperatingLeasePayments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26200000.0,53200000.0,79800000.0,106000000.0,26000000.0,53000000.0,80000000.0,106000000.0,26000000.0,53000000.0,80000000.0,106000000.0,28000000.0,56000000.0,83000000.0,108000000.0,31000000.0,60000000.0,89000000.0,113000000.0,30000000.0,60000000.0,90000000.0,118000000.0,30000000.0,59000000.0,90000000.0
OperatingLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508100000.0,476800000.0,464600000.0,456000000.0,456000000.0,456000000.0,456000000.0,456000000.0,393000000.0,393000000.0,393000000.0,393000000.0,438000000.0,438000000.0,438000000.0,438000000.0,346000000.0,346000000.0,346000000.0,346000000.0,277000000.0,277000000.0,277000000.0,277000000.0,216000000.0,216000000.0,216000000.0
