fact_unit,2018-03-09,2019-03-08,2020-03-06,2021-03-12,2022-03-11,2023-03-10,2024-02-29,2024-03-15,2024-05-10,2024-08-08,2024-11-07,2025-02-26,2025-05-05,2025-08-06,2025-11-05
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,,,,,,,,,,358000000.0,,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,,,,61000000.0,,,,,30000000.0,,,
DefinedContributionPlanCostRecognized / USD,,,,,,,288000000.0,,,,,307000000.0,,,
Depreciation / USD,,,,,,,1433000000.0,,,,,1449000000.0,,,
DepreciationDepletionAndAmortization / USD,,,,,,,1551000000.0,,384000000.0,785000000.0,1187000000.0,1577000000.0,397000000.0,821000000.0,
DividendsCommonStock / USD,,,,,,,909000000.0,,764000000.0,761000000.0,938000000.0,931000000.0,241000000.0,481000000.0,719000000.0
DividendsPayableCurrent / USD,,,,,,,0.0,,764000000.0,0.0,177000000.0,750000000.0,241000000.0,,
DividendsPreferredStock / USD,,,,,,,,,,,,1000000.0,,,
EarningsPerShareBasic / USD/shares,,,,,,,3.35,,-0.05,1.57,3.36,5.15,0.16,2.05,4.03
EarningsPerShareDiluted / USD/shares,,,,,,,3.32,,-0.05,1.56,3.34,5.11,0.16,2.03,4.0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,-297000000.0,,68000000.0,92000000.0,18000000.0,-231000000.0,-97000000.0,-85000000.0,-20000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,0.21,,0.36,0.24,0.24,0.22,-0.19,0.22,0.25
EmployeeRelatedLiabilitiesCurrent / USD,,,,,,,956000000.0,,821000000.0,920000000.0,984000000.0,1066000000.0,997000000.0,966000000.0,1048000000.0
EntityCommonStockSharesOutstanding / shares,838958469.0,843390338.0,799640338.0,795140338.0,774140338.0,752140338.0,690357372.0,690357372.0,686677448.0,682777425.0,679336658.0,676475037.0,676004196.0,672659283.0,670270575.0
EntityPublicFloat / USD,,,,,,,40589313781.0,40589313781.0,,,,51283330098.0,,,
EquityMethodInvestments / USD,,,,,,,649000000.0,,655000000.0,672000000.0,665000000.0,620000000.0,609000000.0,484000000.0,929000000.0
FinanceLeaseInterestExpense / USD,,,,,,,3000000.0,,,,,3000000.0,,,
FinanceLeaseLiability / USD,,,,,,,117000000.0,,,,,257000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,,,,,,22000000.0,,,,25000000.0,31000000.0,,,60000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,59000000.0,,,,71000000.0,86000000.0,,,168000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,163000000.0,,,,,377000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,57000000.0,,,,,133000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,31000000.0,,,,,70000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,10000000.0,,,,,22000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,15000000.0,,,,,39000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,23000000.0,,,,,51000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,27000000.0,,,,,62000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,46000000.0,,,,,120000000.0,,,
FinanceLeasePrincipalPayments / USD,,,,,,,29000000.0,,6000000.0,12000000.0,18000000.0,28000000.0,9000000.0,21000000.0,37000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,22000000.0,,,,,20000000.0,,,
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization / USD,,,,,,,128000000.0,,,,,187000000.0,,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,0.0385,,,,,0.0407,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,492000000.0,,,,,630000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,615000000.0,,,,,587000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,127000000.0,,,,,207000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,52000000.0,,,,,85000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,,61000000.0,,,,,104000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,,74000000.0,,,,,116000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,,112000000.0,,,,,112000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,,,,,,,1580000000.0,,,,,1671000000.0,,,
FiniteLivedIntangibleAssetsNet / USD,,,,,,,1088000000.0,,,,,1041000000.0,,,
GainLossOnDispositionOfAssets1 / USD,,,,,,,,,5000000.0,23000000.0,38000000.0,,123000000.0,248000000.0,389000000.0
GainLossOnSaleOfPropertyPlantEquipment / USD,,,,,,,38000000.0,,5000000.0,23000000.0,38000000.0,50000000.0,8000000.0,110000000.0,199000000.0
Goodwill / USD,,,,9093000000.0,9032000000.0,9451000000.0,9451000000.0,,9199000000.0,9199000000.0,9199000000.0,9199000000.0,9158000000.0,9158000000.0,9158000000.0
GoodwillAcquiredDuringPeriod / USD,,,,,,,1320000000.0,,64000000.0,78000000.0,354000000.0,398000000.0,1025000000.0,1171000000.0,1708000000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,,,,,,-239000000.0,,45000000.0,61000000.0,-8000000.0,89000000.0,-58000000.0,-80000000.0,40000000.0
GoodwillImpairedAccumulatedImpairmentLoss / USD,,,,,,,691000000.0,,,,,1001000000.0,,,
GoodwillImpairmentLoss / USD,,,,,,,327000000.0,,327000000.0,327000000.0,327000000.0,327000000.0,0.0,0.0,0.0
GoodwillTransfers / USD,,,,,,,201000000.0,,-201000000.0,-201000000.0,-201000000.0,201000000.0,197000000.0,199000000.0,201000000.0
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,,,,,,,1333000000.0,,197000000.0,197000000.0,201000000.0,204000000.0,197000000.0,197000000.0,201000000.0
GrossProfit / USD,,,,9058000000.0,9273000000.0,8565000000.0,9827000000.0,,1619000000.0,5249000000.0,9012000000.0,10815000000.0,1807000000.0,5482000000.0,9541000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,,,,1596000000.0,,,,,2225000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,,,,3102000000.0,,-39000000.0,1539000000.0,3259000000.0,3461000000.0,99000000.0,1832000000.0,3727000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,,,,1506000000.0,,,,,1236000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments / USD,,,,,,,3102000000.0,,-39000000.0,1539000000.0,3259000000.0,3461000000.0,99000000.0,1832000000.0,3727000000.0
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,2507000000.0,,-31000000.0,1181000000.0,2499000000.0,2699000000.0,114000000.0,1423000000.0,2812000000.0
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,,,,,,,3.12,,,,,3.58,,,
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,,,,,,,3.09,,,,,3.55,,,
IncomeLossFromDiscontinuedOperationsNetOfTax / USD,,,,,,,179000000.0,,,,,1190000000.0,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare / USD/shares,,,,,,,0.23,,,,,1.57,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare / USD/shares,,,,,,,0.23,,,,,1.56,,,
IncomeLossFromEquityMethodInvestments / USD,,,,,,,55000000.0,,-6000000.0,7000000.0,21000000.0,0.0,-4000000.0,2000000.0,27000000.0
IncomeTaxExaminationPenaltiesAndInterestExpense / USD,,,,,,,12000000.0,,,,,5000000.0,,,
IncomeTaxExpenseBenefit / USD,,,,,,,650000000.0,,-14000000.0,365000000.0,781000000.0,762000000.0,-19000000.0,411000000.0,942000000.0
IncomeTaxReceivable / USD,,,,,,,,,,,,,163000000.0,140000000.0,164000000.0
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,,,,4000000.0,,,,,-6000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,651000000.0,,,,,727000000.0,,,
IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses / USD,,,,,,,0.0,,,,,0.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,-34000000.0,,,,,4000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,,,61000000.0,,,,,73000000.0,,,
IncomeTaxReconciliationTaxContingencies / USD,,,,,,,75000000.0,,,,,60000000.0,,,
IncomeTaxReconciliationTaxCredits / USD,,,,,,,107000000.0,,,,,96000000.0,,,
IncomeTaxReconciliationTaxExemptIncome / USD,,,,,,,,,,,,0.0,,,
IncomeTaxesPaid / USD,,,,,,,642000000.0,,104000000.0,277000000.0,620000000.0,1043000000.0,159000000.0,304000000.0,654000000.0
IncreaseDecreaseInAccountsPayable / USD,,,,,,,539000000.0,,-339000000.0,558000000.0,-30000000.0,403000000.0,-396000000.0,232000000.0,-276000000.0
IncreaseDecreaseInAccountsReceivable / USD,,,,,,,404000000.0,,356000000.0,1758000000.0,1643000000.0,226000000.0,326000000.0,1371000000.0,1527000000.0
IncreaseDecreaseInInventories / USD,,,,,,,439000000.0,,217000000.0,22000000.0,-62000000.0,655000000.0,270000000.0,175000000.0,45000000.0
IncreaseDecreaseInOperatingLeaseLiability / USD,,,,,,,-299000000.0,,-70000000.0,-137000000.0,-204000000.0,-269000000.0,-75000000.0,-151000000.0,-218000000.0
IncreaseDecreaseInOtherOperatingAssets / USD,,,,,,,124000000.0,,21000000.0,2000000.0,5000000.0,45000000.0,77000000.0,107000000.0,311000000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,,,,,,,95000000.0,,-164000000.0,69000000.0,354000000.0,205000000.0,1000000.0,-39000000.0,498000000.0
IncreaseDecreaseInPensionAndPostretirementObligations / USD,,,,,,,-51000000.0,,-12000000.0,-23000000.0,-34000000.0,-43000000.0,-14000000.0,-23000000.0,-35000000.0
IntangibleAssetsNetExcludingGoodwill / USD,,,,,,,1088000000.0,,1094000000.0,1061000000.0,1074000000.0,1041000000.0,1093000000.0,1086000000.0,1105000000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,285000000.0,344000000.0,133000000.0,288000000.0,452000000.0
InterestIncomeExpenseNonoperatingNet / USD,,,,,,,3000000.0,,,0.0,0.0,0.0,0.0,-1000000.0,1000000.0
InterestPaidNet / USD,,,,,,,340000000.0,,54000000.0,201000000.0,244000000.0,329000000.0,45000000.0,216000000.0,372000000.0
InventoryFinishedGoodsNetOfReserves / USD,,,,,,,2025000000.0,,2113000000.0,1995000000.0,2009000000.0,2240000000.0,2222000000.0,2156000000.0,2216000000.0
InventoryNet / USD,,,,,,,4194000000.0,,4458000000.0,4276000000.0,4191000000.0,4291000000.0,4619000000.0,4514000000.0,4644000000.0
InventoryRawMaterialsNetOfReserves / USD,,,,,,,1988000000.0,,2166000000.0,2089000000.0,2007000000.0,1865000000.0,2186000000.0,2158000000.0,2182000000.0
InventoryWorkInProcessNetOfReserves / USD,,,,,,,181000000.0,,179000000.0,192000000.0,175000000.0,186000000.0,211000000.0,200000000.0,246000000.0
InvestmentIncomeInterest / USD,,,,,,,0.0,,40000000.0,76000000.0,138000000.0,65000000.0,43000000.0,79000000.0,112000000.0
LeaseCost / USD,,,,,,,626000000.0,,,,,645000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,,,1738000000.0,,,,,1706000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,810000000.0,,,,,755000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,261000000.0,,,,,279000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,122000000.0,,,,,107000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,144000000.0,,,,,153000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,180000000.0,,,,,182000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,221000000.0,,,,,230000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,358000000.0,,,,,367000000.0,,,
Liabilities / USD,,,,27825000000.0,24596000000.0,23756000000.0,22279000000.0,,22963000000.0,23433000000.0,24983000000.0,22279000000.0,25591000000.0,26654000000.0,28055000000.0
LiabilitiesAndStockholdersEquity / USD,,,,,,,45319000000.0,,45107000000.0,46142000000.0,47631000000.0,47469000000.0,46333000000.0,48105000000.0,51221000000.0
LiabilitiesCurrent / USD,,,,,,,8041000000.0,,9255000000.0,9671000000.0,9191000000.0,10013000000.0,9997000000.0,10548000000.0,10668000000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,0.0,,0.0,0.0,0.0,375000000.0,44000000.0,14000000.0,
LongTermDebt / USD,,,,,,,9542000000.0,,9678000000.0,9586000000.0,11222000000.0,11535000000.0,12554000000.0,12959000000.0,13737000000.0
LongTermDebtCurrent / USD,,,,,,,1397000000.0,,2095000000.0,2023000000.0,1687000000.0,1759000000.0,2874000000.0,3059000000.0,3065000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,,,4760000000.0,,,,,4852000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,,,1759000000.0,,1219000000.0,1224000000.0,1334000000.0,2882000000.0,1954000000.0,2939000000.0,2240000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,,,,1537000000.0,,,,,1258000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,,,1436000000.0,,1516000000.0,1508000000.0,1559000000.0,1506000000.0,1333000000.0,2744000000.0,1356000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,,,824000000.0,,1431000000.0,1128000000.0,1159000000.0,1430000000.0,1536000000.0,1457000000.0,1600000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,,,1219000000.0,,814000000.0,1094000000.0,1612000000.0,1923000000.0,1452000000.0,1478000000.0,1495000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear / USD,,,,,,,,,2874000000.0,1832000000.0,1757000000.0,,1364000000.0,1064000000.0,3689000000.0
LongTermDebtNoncurrent / USD,,,,,,,8145000000.0,,7583000000.0,7563000000.0,9535000000.0,9776000000.0,9680000000.0,9900000000.0,10672000000.0
MinorityInterest / USD,,,,,,,575000000.0,,582000000.0,575000000.0,561000000.0,434000000.0,401000000.0,390000000.0,930000000.0
MinorityInterestChangeInRedemptionValue / USD,,,,,,,-18000000.0,,-10000000.0,-12000000.0,-18000000.0,40000000.0,-4000000.0,-7000000.0,-30000000.0
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders / USD,,,,,,,14000000.0,,4000000.0,4000000.0,8000000.0,8000000.0,4000000.0,5000000.0,10000000.0
NetCashProvidedByUsedInFinancingActivities / USD,,,,,,,-3107000000.0,,-191000000.0,-1746000000.0,-1097000000.0,-2499000000.0,-176000000.0,-515000000.0,-1144000000.0
NetCashProvidedByUsedInInvestingActivities / USD,,,,,,,-2513000000.0,,-492000000.0,-970000000.0,-1729000000.0,-917000000.0,-2096000000.0,-2617000000.0,-4405000000.0
NetCashProvidedByUsedInOperatingActivities / USD,,,,,,,3979000000.0,,-671000000.0,963000000.0,2594000000.0,3800000000.0,-712000000.0,773000000.0,2259000000.0
NetIncomeLoss / USD,,,,,,,2630000000.0,,-28000000.0,1171000000.0,2477000000.0,3862000000.0,116000000.0,1413000000.0,2789000000.0
NetIncomeLossAttributableToNonredeemableNoncontrollingInterest / USD,,,,,,,34000000.0,,-5000000.0,-2000000.0,1000000.0,0.0,-4000000.0,-2000000.0,2000000.0
NetIncomeLossAttributableToRedeemableNoncontrollingInterest / USD,,,,,,,22000000.0,,2000000.0,12000000.0,21000000.0,27000000.0,2000000.0,12000000.0,21000000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,,,,2612000000.0,,-38000000.0,1159000000.0,2459000000.0,3902000000.0,112000000.0,1406000000.0,2759000000.0
