fact_unit,2009-10-01,2010-01-29,2010-04-01,2010-07-01,2010-10-01,2011-01-31,2011-04-01,2011-07-01,2011-09-30,2012-01-30,2012-03-30,2012-07-02,2012-10-05,2013-01-29,2013-04-03,2013-07-02,2013-10-03,2014-01-29,2014-04-02,2014-07-02,2014-10-03,2015-01-29,2015-04-02,2015-07-01,2015-10-02,2016-01-29,2016-03-31,2016-07-01,2016-09-30,2017-01-30,2017-03-30,2017-06-30,2017-09-29,2018-01-29,2018-03-22,2018-06-25,2018-09-27,2019-01-28,2019-04-09,2019-06-24,2019-09-26,2020-01-28,2020-03-31,2020-04-03,2020-07-10,2020-10-08,2021-01-26,2021-04-07,2021-06-28,2021-09-30,2022-01-27,2022-03-28,2022-06-29,2022-09-30,2023-01-27,2023-03-29,2023-06-28,2023-09-29,2024-01-26,2024-03-27,2024-06-27,2024-09-30,2025-01-27,2025-03-25,2025-06-26,2025-09-29
NetIncomeLossAvailableToCommonStockholdersDiluted / USD,,,,,1615000000.0,2364000000.0,178000000.0,433000000.0,1739000000.0,1802000000.0,,,,1989000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10236000000.0,,,-4495000000.0,-9501000000.0,-693000000.0,-1100000000.0,-26000000.0,-6093000000.0,-214000000.0,-123000000.0,1686000000.0
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114000000.0,,,,127000000.0,,,,100000000.0,,,
NonoperatingIncomeExpense / USD,-272000000.0,-301000000.0,-73000000.0,-156000000.0,-255000000.0,-358000000.0,-95000000.0,-193000000.0,-282000000.0,-348000000.0,-78000000.0,-153000000.0,-244000000.0,-368000000.0,-59000000.0,-298000000.0,-257000000.0,-343000000.0,-106000000.0,-217000000.0,-234000000.0,-340000000.0,-86000000.0,-134000000.0,-185000000.0,-280000000.0,-214000000.0,-276000000.0,-536000000.0,-547000000.0,-291000000.0,-162000000.0,-259000000.0,-775000000.0,-14000000.0,-131000000.0,-155000000.0,-243000000.0,-28000000.0,-24000000.0,-74000000.0,-143000000.0,-143000000.0,-49000000.0,-105000000.0,-168000000.0,-118000000.0,-57000000.0,-265000000.0,-793000000.0,-215000000.0,-455000000.0,-900000000.0,-1702000000.0,-1388000000.0,-397000000.0,-755000000.0,-1235000000.0,-2433000000.0,-514000000.0,-1036000000.0,-1595000000.0,-1701000000.0,-489000000.0,-953000000.0,
NumberOfReportableSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
OperatingCostsAndExpenses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8245000000.0,2030000000.0,4713000000.0,8092000000.0,4655000000.0,3311000000.0,6768000000.0,10688000000.0,11757000000.0,3705000000.0,7502000000.0,11805000000.0
OperatingIncomeLoss / USD,2279000000.0,2725000000.0,311000000.0,664000000.0,1860000000.0,2729000000.0,255000000.0,604000000.0,2006000000.0,2154000000.0,235000000.0,514000000.0,1947000000.0,2347000000.0,-82000000.0,171000000.0,1466000000.0,2255000000.0,145000000.0,297000000.0,1249000000.0,1642000000.0,67000000.0,214000000.0,1506000000.0,1329000000.0,266000000.0,554000000.0,2064000000.0,1772000000.0,434000000.0,912000000.0,2474000000.0,2574000000.0,368000000.0,868000000.0,2261000000.0,3071000000.0,419000000.0,978000000.0,2772000000.0,2809000000.0,2809000000.0,386000000.0,902000000.0,2791000000.0,3325000000.0,-713000000.0,-4891000000.0,-7223000000.0,3276000000.0,-1524000000.0,-3139000000.0,-5196000000.0,-8865000000.0,-1491000000.0,-2964000000.0,-3244000000.0,-7089000000.0,-172000000.0,-52000000.0,1572000000.0,-4379000000.0,276000000.0,836000000.0,3013000000.0
OperatingLeaseCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000000.0,103000000.0,153000000.0,203000000.0,,,,203000000.0,,,,203000000.0,,,,203000000.0,,,,192000000.0,,,
OperatingLeaseLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480000000.0,1445000000.0,1431000000.0,1424000000.0,,,,1381000000.0,,,,1335000000.0,,,,1319000000.0,,,,1402000000.0,,,
OperatingLeaseLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000000.0,153000000.0,150000000.0,151000000.0,151000000.0,151000000.0,151000000.0,151000000.0,142000000.0,142000000.0,142000000.0,142000000.0,146000000.0,146000000.0,146000000.0,146000000.0,149000000.0,149000000.0,149000000.0,149000000.0,163000000.0,163000000.0,163000000.0
OperatingLeaseLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312000000.0,1292000000.0,1281000000.0,1273000000.0,1273000000.0,1273000000.0,1273000000.0,1273000000.0,1239000000.0,1239000000.0,1239000000.0,1239000000.0,1189000000.0,1189000000.0,1189000000.0,1189000000.0,1170000000.0,1170000000.0,1170000000.0,1170000000.0,1239000000.0,1239000000.0,1239000000.0
OperatingLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469000000.0,1413000000.0,1379000000.0,1370000000.0,1370000000.0,1370000000.0,1370000000.0,1370000000.0,1333000000.0,1333000000.0,1333000000.0,1333000000.0,1274000000.0,1274000000.0,1274000000.0,1274000000.0,1265000000.0,1265000000.0,1265000000.0,1265000000.0,1368000000.0,1368000000.0,1368000000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.032,0.032,0.034,,,,0.034,,,,0.038,,,,0.052,,,,0.059,,,
OtherAssetsCurrent / USD,254000000.0,267000000.0,298000000.0,298000000.0,298000000.0,298000000.0,247000000.0,247000000.0,247000000.0,247000000.0,195000000.0,195000000.0,195000000.0,195000000.0,236000000.0,236000000.0,236000000.0,236000000.0,315000000.0,315000000.0,315000000.0,315000000.0,322000000.0,322000000.0,322000000.0,322000000.0,314000000.0,314000000.0,314000000.0,423000000.0,466000000.0,466000000.0,466000000.0,466000000.0,502000000.0,502000000.0,502000000.0,502000000.0,436000000.0,436000000.0,436000000.0,436000000.0,436000000.0,671000000.0,671000000.0,671000000.0,671000000.0,443000000.0,443000000.0,443000000.0,443000000.0,392000000.0,392000000.0,392000000.0,379000000.0,652000000.0,652000000.0,652000000.0,652000000.0,1767000000.0,1767000000.0,1767000000.0,1767000000.0,1070000000.0,1070000000.0,1070000000.0
OtherAssetsNoncurrent / USD,631000000.0,733000000.0,650000000.0,650000000.0,650000000.0,650000000.0,639000000.0,639000000.0,639000000.0,639000000.0,619000000.0,619000000.0,619000000.0,619000000.0,715000000.0,715000000.0,715000000.0,715000000.0,760000000.0,760000000.0,760000000.0,760000000.0,744000000.0,744000000.0,744000000.0,744000000.0,650000000.0,650000000.0,650000000.0,650000000.0,578000000.0,578000000.0,578000000.0,578000000.0,585000000.0,585000000.0,585000000.0,585000000.0,738000000.0,738000000.0,738000000.0,738000000.0,738000000.0,783000000.0,783000000.0,783000000.0,783000000.0,1594000000.0,1594000000.0,1594000000.0,1594000000.0,2011000000.0,2011000000.0,2011000000.0,2011000000.0,2515000000.0,2515000000.0,2515000000.0,2515000000.0,725000000.0,725000000.0,725000000.0,725000000.0,775000000.0,775000000.0,775000000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,,,,,,,,,,,,707000000.0,760000000.0,-664000000.0,147000000.0,-303000000.0,-218000000.0,-24000000.0,-208000000.0,-280000000.0,-69000000.0,25000000.0,116000000.0,100000000.0,-154000000.0,332000000.0,-683000000.0,-818000000.0,-738000000.0,-746000000.0,-208000000.0,72000000.0,-294000000.0,-1078000000.0,1000000.0,257000000.0,543000000.0,-675000000.0,292000000.0,-56000000.0,-50000000.0,590000000.0,590000000.0,79000000.0,-114000000.0,-215000000.0,-199000000.0,25000000.0,48000000.0,567000000.0,-86000000.0,199000000.0,303000000.0,79000000.0,,13000000.0,-246000000.0,-529000000.0,-118000000.0,-3000000.0,99000000.0,82000000.0,-503000000.0,0.0,7000000.0,71000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,796000000.0,839000000.0,-716000000.0,142000000.0,-312000000.0,-225000000.0,45000000.0,-192000000.0,-266000000.0,-44000000.0,2000000.0,112000000.0,82000000.0,-189000000.0,368000000.0,-723000000.0,-863000000.0,-762000000.0,-777000000.0,-202000000.0,93000000.0,-271000000.0,-1125000000.0,15000000.0,300000000.0,609000000.0,-713000000.0,295000000.0,-73000000.0,-59000000.0,672000000.0,672000000.0,79000000.0,-127000000.0,-234000000.0,-167000000.0,38000000.0,103000000.0,627000000.0,-117000000.0,203000000.0,310000000.0,87000000.0,630000000.0,16000000.0,-241000000.0,-523000000.0,-65000000.0,11000000.0,79000000.0,86000000.0,-481000000.0,1000000.0,19000000.0,45000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630000000.0,16000000.0,-241000000.0,-523000000.0,-65000000.0,11000000.0,79000000.0,86000000.0,-481000000.0,1000000.0,19000000.0,45000000.0
OtherComprehensiveIncomeOtherNetOfTax / USD,,,,,,,,-100000000.0,-93000000.0,42000000.0,40000000.0,89000000.0,79000000.0,-52000000.0,-5000000.0,-9000000.0,-7000000.0,69000000.0,16000000.0,14000000.0,25000000.0,-23000000.0,-4000000.0,-18000000.0,-35000000.0,36000000.0,-40000000.0,-45000000.0,-24000000.0,-31000000.0,6000000.0,21000000.0,23000000.0,-47000000.0,14000000.0,43000000.0,66000000.0,-38000000.0,3000000.0,-17000000.0,-9000000.0,82000000.0,82000000.0,0.0,-13000000.0,-19000000.0,32000000.0,13000000.0,56000000.0,60000000.0,-31000000.0,4000000.0,7000000.0,8000000.0,51000000.0,2000000.0,5000000.0,6000000.0,53000000.0,14000000.0,-19000000.0,4000000.0,22000000.0,1000000.0,12000000.0,-26000000.0
OtherLiabilitiesNoncurrent / USD,783000000.0,786000000.0,732000000.0,732000000.0,732000000.0,732000000.0,693000000.0,693000000.0,693000000.0,693000000.0,647000000.0,647000000.0,647000000.0,647000000.0,724000000.0,724000000.0,724000000.0,724000000.0,736000000.0,736000000.0,736000000.0,736000000.0,960000000.0,960000000.0,960000000.0,960000000.0,1097000000.0,1097000000.0,1097000000.0,1097000000.0,910000000.0,910000000.0,910000000.0,910000000.0,769000000.0,769000000.0,769000000.0,769000000.0,856000000.0,856000000.0,856000000.0,856000000.0,856000000.0,890000000.0,890000000.0,890000000.0,890000000.0,949000000.0,949000000.0,949000000.0,949000000.0,1043000000.0,1043000000.0,1043000000.0,1043000000.0,891000000.0,891000000.0,891000000.0,891000000.0,1105000000.0,1105000000.0,1105000000.0,1105000000.0,1012000000.0,1012000000.0,1012000000.0
