fact_unit,2015-10-29,2016-02-11,2016-05-03,2016-08-04,2016-11-03,2017-02-03,2017-05-02,2017-07-25,2017-10-27,2018-02-06,2018-04-24,2018-07-24,2018-10-26,2019-02-05,2019-04-30,2019-07-26,2019-10-29,2020-02-04,2020-04-29,2020-07-31,2020-10-30,2021-02-03,2021-04-28,2021-07-28,2021-10-27,2022-02-02,2022-04-27,2022-07-27,2022-10-26,2023-02-03,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-24,2024-10-30,2025-02-05,2025-04-25,2025-07-24,2025-10-30
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,275000000.0,275000000.0,275000000.0,275000000.0,789000000.0,789000000.0,789000000.0,789000000.0,550000000.0,550000000.0,550000000.0,550000000.0,754000000.0,754000000.0,754000000.0,754000000.0,771000000.0,771000000.0,771000000.0,771000000.0,879000000.0,879000000.0,879000000.0
Assets / USD,130426000000.0,129187000000.0,129187000000.0,147461000000.0,147461000000.0,147461000000.0,167497000000.0,167497000000.0,167497000000.0,167497000000.0,197295000000.0,197295000000.0,197295000000.0,197295000000.0,232792000000.0,232792000000.0,232792000000.0,232792000000.0,275909000000.0,275909000000.0,275909000000.0,275909000000.0,319616000000.0,319616000000.0,319616000000.0,319616000000.0,359268000000.0,359268000000.0,359268000000.0,359268000000.0,365264000000.0,365264000000.0,365264000000.0,365264000000.0,402392000000.0,402392000000.0,402392000000.0,402392000000.0,450256000000.0,450256000000.0,450256000000.0
AssetsCurrent / USD,79978000000.0,78656000000.0,78656000000.0,90114000000.0,90114000000.0,90114000000.0,105408000000.0,105408000000.0,105408000000.0,105408000000.0,124308000000.0,124308000000.0,124308000000.0,124308000000.0,135676000000.0,135676000000.0,135676000000.0,135676000000.0,152578000000.0,152578000000.0,152578000000.0,152578000000.0,174296000000.0,174296000000.0,174296000000.0,174296000000.0,188143000000.0,188143000000.0,188143000000.0,188143000000.0,164795000000.0,164795000000.0,164795000000.0,164795000000.0,171530000000.0,171530000000.0,171530000000.0,171530000000.0,163711000000.0,163711000000.0,163711000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,7244000000.0,7199000000.0,7199000000.0,8374000000.0,10383000000.0,8382000000.0,989000000.0,1281000000.0,2172000000.0,2676000000.0,,,,2236000000.0,2522000000.0,4773000000.0,3868000000.0,2671000000.0,3080000000.0,1993000000.0,5237000000.0,2739000000.0,2829000000.0,3297000000.0,4207000000.0,4675000000.0,4755000000.0,4795000000.0,11848000000.0,16083000000.0,15228000000.0,15162000000.0,15114000000.0,15351000000.0,13972000000.0,11977000000.0,12416000000.0,10920000000.0,11803000000.0,11846000000.0,13390000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,27725000000.0,30141000000.0,30141000000.0,36934000000.0,37763000000.0,38762000000.0,41604000000.0,38652000000.0,52502000000.0,56056000000.0,,,,54504000000.0,57477000000.0,59518000000.0,66825000000.0,63151000000.0,54662000000.0,60253000000.0,67496000000.0,69228000000.0,65995000000.0,69749000000.0,73675000000.0,78625000000.0,75938000000.0,73397000000.0,58061000000.0,51698000000.0,46052000000.0,43749000000.0,42554000000.0,41477000000.0,42755000000.0,36666000000.0,36972000000.0,37221000000.0,37361000000.0,37136000000.0,36655000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,10024000000.0,10211000000.0,10211000000.0,11793000000.0,13802000000.0,12701000000.0,10383000000.0,8650000000.0,12063000000.0,12346000000.0,,,,10808000000.0,10018000000.0,10189000000.0,10539000000.0,11667000000.0,12820000000.0,12571000000.0,13204000000.0,13038000000.0,13891000000.0,12245000000.0,13993000000.0,12864000000.0,12245000000.0,12210000000.0,11353000000.0,11580000000.0,11964000000.0,13686000000.0,13592000000.0,14216000000.0,14043000000.0,12664000000.0,13220000000.0,12896000000.0,12951000000.0,13235000000.0,13404000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,8525000000.0,7900000000.0,7900000000.0,7302000000.0,11205000000.0,13066000000.0,20773000000.0,29827000000.0,22234000000.0,19486000000.0,,,,23669000000.0,21969000000.0,22862000000.0,18782000000.0,20392000000.0,24209000000.0,24027000000.0,21943000000.0,19795000000.0,20220000000.0,20663000000.0,19074000000.0,16192000000.0,15516000000.0,12374000000.0,7998000000.0,8170000000.0,11712000000.0,15403000000.0,13958000000.0,11231000000.0,8551000000.0,7234000000.0,5439000000.0,6341000000.0,5151000000.0,5930000000.0,5952000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,53518000000.0,55451000000.0,55451000000.0,64403000000.0,73153000000.0,72911000000.0,73749000000.0,78410000000.0,88971000000.0,90564000000.0,94182000000.0,94182000000.0,94182000000.0,91217000000.0,91986000000.0,97342000000.0,100014000000.0,97881000000.0,94771000000.0,98844000000.0,107880000000.0,104800000000.0,102935000000.0,105954000000.0,110949000000.0,112356000000.0,108454000000.0,102776000000.0,89260000000.0,87531000000.0,84956000000.0,88000000000.0,85218000000.0,82275000000.0,79321000000.0,68541000000.0,68047000000.0,67378000000.0,67266000000.0,68147000000.0,69401000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000000.0,,,
Cash / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8296000000.0,8561000000.0,8561000000.0,8561000000.0,8561000000.0,12509000000.0,12509000000.0,12509000000.0,12509000000.0,12407000000.0,,
CashAndCashEquivalentsAtCarryingValue / USD,15605000000.0,14778000000.0,14778000000.0,18347000000.0,18347000000.0,18898000000.0,16549000000.0,16549000000.0,16549000000.0,18347000000.0,12918000000.0,12918000000.0,12918000000.0,16549000000.0,10715000000.0,16701000000.0,16701000000.0,16701000000.0,18498000000.0,18498000000.0,18498000000.0,18498000000.0,26465000000.0,26465000000.0,26465000000.0,26465000000.0,20945000000.0,20945000000.0,20945000000.0,20945000000.0,21879000000.0,21879000000.0,21879000000.0,21879000000.0,24048000000.0,24048000000.0,24048000000.0,24048000000.0,23466000000.0,23466000000.0,23466000000.0
CashCashEquivalentsAndShortTermInvestments / USD,64395000000.0,64395000000.0,64395000000.0,73066000000.0,73066000000.0,73066000000.0,86333000000.0,86333000000.0,86333000000.0,86333000000.0,101871000000.0,101871000000.0,101871000000.0,101871000000.0,109140000000.0,109140000000.0,109140000000.0,109140000000.0,119675000000.0,119675000000.0,119675000000.0,119675000000.0,136694000000.0,136694000000.0,136694000000.0,136694000000.0,139649000000.0,139649000000.0,139649000000.0,139649000000.0,113762000000.0,113762000000.0,113762000000.0,113762000000.0,110916000000.0,110916000000.0,110916000000.0,110916000000.0,95657000000.0,95657000000.0,95657000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,10715000000.0,10715000000.0,12918000000.0,16701000000.0,16701000000.0,16701000000.0,10715000000.0,18498000000.0,18498000000.0,18498000000.0,16701000000.0,26465000000.0,26465000000.0,26465000000.0,18498000000.0,20945000000.0,20945000000.0,20945000000.0,26465000000.0,21879000000.0,21879000000.0,21879000000.0,20945000000.0,24048000000.0,24048000000.0,24048000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,3433000000.0,2728000000.0,-2203000000.0,2447000000.0,-114000000.0,-669000000.0,5986000000.0,1146000000.0,-756000000.0,1631000000.0,1797000000.0,157000000.0,-2835000000.0,-2746000000.0,7967000000.0,-59000000.0,-3009000000.0,1039000000.0,-5520000000.0,4045000000.0,4050000000.0,8823000000.0,934000000.0,445000000.0,3177000000.0,-4089000000.0
CommercialPaper / USD,,2000000000.0,2000000000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300000000.0,2300000000.0,2300000000.0
CommissionsPayableToBrokerDealersAndClearingOrganizations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3866000000.0,3866000000.0,3866000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,0.6,0.2,0.2,0.4
CommonStockParOrStatedValuePerShare / USD/shares,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,15000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0,300000000000.0
CommonStockSharesIssued / shares,,680172000.0,680172000.0,687348000.0,687348000.0,687348000.0,691293000.0,691293000.0,691293000.0,691293000.0,694783000.0,694783000.0,694783000.0,694783000.0,695556000.0,695556000.0,695556000.0,695556000.0,688335000.0,688335000.0,688335000.0,688335000.0,675222000.0,675222000.0,675222000.0,675222000.0,662121000.0,13242000000.0,13242000000.0,13242000000.0,12849000000.0,12849000000.0,12849000000.0,12849000000.0,12460000000.0,12460000000.0,12460000000.0,12460000000.0,12211000000.0,12211000000.0,12211000000.0
CommonStockSharesOutstanding / shares,,680172000.0,680172000.0,687348000.0,687348000.0,687348000.0,691293000.0,691293000.0,691293000.0,691293000.0,694783000.0,694783000.0,694783000.0,694783000.0,695556000.0,695556000.0,695556000.0,695556000.0,688335000.0,688335000.0,688335000.0,688335000.0,675222000.0,675222000.0,675222000.0,675222000.0,662121000.0,13242000000.0,13242000000.0,13242000000.0,12849000000.0,12849000000.0,12849000000.0,12849000000.0,12460000000.0,12460000000.0,12460000000.0,12460000000.0,12211000000.0,12211000000.0,12211000000.0
CommonStocksIncludingAdditionalPaidInCapital / USD,28767000000.0,28767000000.0,28767000000.0,32982000000.0,32982000000.0,32982000000.0,36307000000.0,36307000000.0,36307000000.0,36307000000.0,40247000000.0,40247000000.0,40247000000.0,40247000000.0,45049000000.0,45049000000.0,45049000000.0,45049000000.0,50552000000.0,50552000000.0,50552000000.0,50552000000.0,58510000000.0,58510000000.0,58510000000.0,58510000000.0,61774000000.0,61774000000.0,61774000000.0,61774000000.0,68184000000.0,68184000000.0,68184000000.0,68184000000.0,76534000000.0,76534000000.0,76534000000.0,76534000000.0,84800000000.0,84800000000.0,84800000000.0
ComprehensiveIncomeNetOfTax / USD,9254000000.0,12320000000.0,12320000000.0,6490000000.0,9806000000.0,14038000000.0,4787000000.0,9807000000.0,14987000000.0,14447000000.0,5659000000.0,9624000000.0,17338000000.0,18950000000.0,9821000000.0,12161000000.0,21202000000.0,14072000000.0,7213000000.0,17849000000.0,24812000000.0,29520000000.0,6971000000.0,14731000000.0,26320000000.0,35447000000.0,17294000000.0,36012000000.0,54350000000.0,42134000000.0,14010000000.0,28233000000.0,39119000000.0,73777000000.0,16654000000.0,35031000000.0,53675000000.0,53992000000.0,23225000000.0,46671000000.0,74756000000.0
ConstructionInProgressGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35136000000.0,50597000000.0,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,2300000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3800000000.0,3800000000.0,3800000000.0,3800000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,6000000000.0,6000000000.0,6000000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,1432000000.0,1432000000.0,1432000000.0,1784000000.0,1784000000.0,1784000000.0,1784000000.0,1908000000.0,1908000000.0,1908000000.0,1908000000.0,2543000000.0,2543000000.0,2543000000.0,2543000000.0,3288000000.0,3288000000.0,3288000000.0,3288000000.0,3908000000.0,3908000000.0,3908000000.0,3908000000.0,4137000000.0,4137000000.0,4137000000.0,4137000000.0,5036000000.0,5036000000.0,5036000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,340000000.0,340000000.0,340000000.0,396000000.0,396000000.0,396000000.0,396000000.0,358000000.0,358000000.0,358000000.0,358000000.0,481000000.0,481000000.0,481000000.0,481000000.0,535000000.0,535000000.0,535000000.0,535000000.0,599000000.0,599000000.0,599000000.0,599000000.0,911000000.0,911000000.0,911000000.0,,,,
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,647000000.0,1000000000.0,1300000000.0,1500000000.0,826000000.0,1300000000.0,1500000000.0,1700000000.0,1000000000.0,1500000000.0,1600000000.0,1800000000.0,1300000000.0,1800000000.0,2100000000.0,2300000000.0,1400000000.0,2100000000.0,2400000000.0,2500000000.0,1600000000.0,2100000000.0,2300000000.0,2400000000.0,2400000000.0,2900000000.0,3400000000.0,3900000000.0,2600000000.0,3500000000.0,4100000000.0
ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostOfRevenue / USD,18770000000.0,21993000000.0,21993000000.0,12939000000.0,19976000000.0,25691000000.0,7648000000.0,15778000000.0,24477000000.0,28164000000.0,9795000000.0,20168000000.0,31316000000.0,35138000000.0,13467000000.0,27350000000.0,41631000000.0,45583000000.0,16012000000.0,33308000000.0,50876000000.0,59549000000.0,18982000000.0,37535000000.0,58652000000.0,71896000000.0,24103000000.0,50330000000.0,77951000000.0,84732000000.0,29599000000.0,59703000000.0,90861000000.0,110939000000.0,30612000000.0,62528000000.0,95757000000.0,126203000000.0,33712000000.0,69219000000.0,105693000000.0
CostsAndExpenses / USD,35801000000.0,40116000000.0,40116000000.0,25713000000.0,39680000000.0,49505000000.0,14915000000.0,30447000000.0,47131000000.0,55629000000.0,18182000000.0,40060000000.0,60050000000.0,66556000000.0,23513000000.0,53125000000.0,78240000000.0,84677000000.0,29731000000.0,59495000000.0,90817000000.0,109295000000.0,33182000000.0,65096000000.0,100056000000.0,127626000000.0,38877000000.0,81396000000.0,125483000000.0,141303000000.0,47917000000.0,98149000000.0,150106000000.0,178923000000.0,52372000000.0,105138000000.0,160488000000.0,207994000000.0,55067000000.0,112384000000.0,172131000000.0
CurrentFederalStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,2838000000.0,,,,3826000000.0,,,,12608000000.0,,,,2153000000.0,,,,2424000000.0,,,,4789000000.0,,,,10126000000.0,,,,17120000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,711000000.0,711000000.0,,,774000000.0,,,,723000000.0,,,,966000000.0,,,,1746000000.0,,,,1251000000.0,,,,2713000000.0,,,,1687000000.0,,,,2692000000.0,,,,2434000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,3232000000.0,3232000000.0,,,3647000000.0,,,,3561000000.0,,,,4792000000.0,,,,14354000000.0,,,,3404000000.0,,,,5137000000.0,,,,6476000000.0,,,,12818000000.0,,,,19554000000.0,,,
DebtAndEquitySecuritiesGainLoss / USD,,,,,,,,,,,,-22000000.0,-67000000.0,-73000000.0,2992000000.0,4060000000.0,5413000000.0,-37000000.0,1081000000.0,3878000000.0,2399000000.0,6650000000.0,-802000000.0,1040000000.0,3055000000.0,2798000000.0,4751000000.0,7634000000.0,9792000000.0,6317000000.0,-1437000000.0,-2478000000.0,-3856000000.0,12270000000.0,84000000.0,-425000000.0,-1294000000.0,-5519000000.0,1781000000.0,757000000.0,2738000000.0
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000000.0,12000000000.0,12000000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,42000000.0,42000000.0,169000000.0,169000000.0,169000000.0,169000000.0,156000000.0,156000000.0,156000000.0,156000000.0,143000000.0,143000000.0,143000000.0,143000000.0,130000000.0,130000000.0,130000000.0,-130000000.0,-118000000.0,-118000000.0,-118000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLossPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76000000.0,-66000000.0,18000000.0,35000000.0,91000000.0,3000000.0,8000000.0,31000000.0,22000000.0,4000000.0,-3000000.0,-21000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,22819000000.0,22819000000.0,22819000000.0,43941000000.0,43941000000.0,43941000000.0,43941000000.0,8403000000.0,8403000000.0,8403000000.0,8403000000.0,245000000.0,245000000.0,245000000.0,245000000.0,622000000.0,622000000.0,622000000.0,622000000.0,35527000000.0,35527000000.0,35527000000.0,35527000000.0,37180000000.0,37180000000.0,37180000000.0,37180000000.0,13227000000.0,13227000000.0,13227000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,291000000.0,291000000.0,291000000.0,787000000.0,787000000.0,787000000.0,787000000.0,39000000.0,39000000.0,39000000.0,39000000.0,2000000.0,2000000.0,2000000.0,2000000.0,13000000.0,13000000.0,13000000.0,13000000.0,2750000000.0,2750000000.0,2750000000.0,2750000000.0,1857000000.0,1857000000.0,1857000000.0,1857000000.0,535000000.0,535000000.0,535000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,58197000000.0,58197000000.0,58197000000.0,27724000000.0,27724000000.0,27724000000.0,27724000000.0,12953000000.0,12953000000.0,12953000000.0,12953000000.0,8444000000.0,8444000000.0,8444000000.0,8444000000.0,67082000000.0,67082000000.0,67082000000.0,67082000000.0,39992000000.0,39992000000.0,39992000000.0,39992000000.0,5228000000.0,5228000000.0,5228000000.0,5228000000.0,20569000000.0,20569000000.0,20569000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,430000000.0,430000000.0,430000000.0,267000000.0,267000000.0,267000000.0,267000000.0,35000000.0,35000000.0,35000000.0,35000000.0,15000000.0,15000000.0,15000000.0,15000000.0,494000000.0,494000000.0,494000000.0,494000000.0,2029000000.0,2029000000.0,2029000000.0,2029000000.0,53000000.0,53000000.0,53000000.0,53000000.0,249000000.0,249000000.0,249000000.0
DebtSecuritiesAvailableForSaleGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000000.0,-367000000.0,-1157000000.0,-1888000000.0,-110000000.0,-293000000.0,-597000000.0,-1100000000.0,-2064000000.0,-462000000.0,-772000000.0,-612000000.0
DebtSecuritiesAvailableForSaleRealizedGain / USD,,,,,,,,,,,,162000000.0,180000000.0,251000000.0,2000000.0,39000000.0,44000000.0,185000000.0,46000000.0,165000000.0,250000000.0,1300000000.0,257000000.0,563000000.0,690000000.0,292000000.0,135000000.0,251000000.0,360000000.0,899000000.0,40000000.0,69000000.0,83000000.0,432000000.0,57000000.0,85000000.0,93000000.0,103000000.0,68000000.0,229000000.0,426000000.0
DebtSecuritiesAvailableForSaleRealizedLoss / USD,,,,,,,,,,,,213000000.0,277000000.0,304000000.0,41000000.0,72000000.0,106000000.0,295000000.0,48000000.0,69000000.0,105000000.0,143000000.0,39000000.0,127000000.0,135000000.0,143000000.0,136000000.0,151000000.0,180000000.0,184000000.0,271000000.0,639000000.0,1190000000.0,329000000.0,492000000.0,795000000.0,1197000000.0,1588000000.0,480000000.0,935000000.0,1252000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,,81016000000.0,81016000000.0,81016000000.0,71665000000.0,71665000000.0,71665000000.0,71665000000.0,21356000000.0,21356000000.0,21356000000.0,21356000000.0,8689000000.0,8689000000.0,8689000000.0,8689000000.0,67704000000.0,67704000000.0,67704000000.0,67704000000.0,75519000000.0,75519000000.0,75519000000.0,75519000000.0,42408000000.0,42408000000.0,42408000000.0,42408000000.0,33796000000.0,33796000000.0,33796000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,,,,,,,,,,,721000000.0,721000000.0,721000000.0,1054000000.0,1054000000.0,1054000000.0,1054000000.0,74000000.0,74000000.0,74000000.0,74000000.0,17000000.0,17000000.0,17000000.0,17000000.0,507000000.0,507000000.0,507000000.0,507000000.0,4779000000.0,4779000000.0,4779000000.0,4779000000.0,1910000000.0,1910000000.0,1910000000.0,1910000000.0,784000000.0,784000000.0,784000000.0
DebtSecuritiesGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,12000000.0,399000000.0,515000000.0,,-86000000.0,25000000.0,62000000.0,,-367000000.0,-1157000000.0,-1888000000.0,,-293000000.0,-597000000.0,-1100000000.0,,,,
