fact_unit,2009-08-05,2009-11-04,2010-02-19,2010-04-30,2010-05-03,2010-07-30,2010-11-05,2010-11-08,2011-03-01,2011-05-06,2011-08-05,2011-11-07,2012-02-22,2012-04-27,2012-07-27,2012-10-26,2013-02-19,2013-04-26,2013-07-26,2013-10-25,2014-02-18,2014-04-29,2014-08-11,2014-09-04,2014-10-24,2015-02-13,2015-04-24,2015-07-27,2015-10-26,2016-02-12,2016-04-29,2016-07-29,2016-10-28,2017-02-14,2017-04-28,2017-07-28,2017-10-27,2018-02-09,2018-04-27,2018-07-27,2018-10-26,2019-02-08,2019-04-29,2019-07-26,2019-10-25,2020-02-24,2020-05-08,2020-08-07,2020-11-06,2020-11-09,2021-02-23,2021-05-07,2021-08-06,2021-11-05,2022-02-18,2022-05-06,2022-08-05,2022-11-04,2023-02-10,2023-05-09,2023-08-04,2023-11-03,2024-02-15,2024-05-02,2024-08-02,2024-10-31,2025-02-13,2025-05-01,2025-07-31,2025-10-30
CommonStockParOrStatedValuePerShare / USD/shares,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
CommonStockSharesAuthorized / shares,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
CommonStockSharesIssued / shares,143302000.0,143302000.0,143302000.0,156627000.0,143302000.0,156627000.0,156627000.0,143302000.0,156627000.0,157279000.0,157279000.0,157279000.0,157279000.0,288823000.0,288823000.0,288823000.0,288823000.0,,295565000.0,295565000.0,295565000.0,297901000.0,297901000.0,295565000.0,297901000.0,297901000.0,298478000.0,298478000.0,298478000.0,298478000.0,334386000.0,334386000.0,334386000.0,334386000.0,354125000.0,354125000.0,354125000.0,354125000.0,356187000.0,356187000.0,356187000.0,356187000.0,356572000.0,356572000.0,356572000.0,356572000.0,372811000.0,372811000.0,372811000.0,372811000.0,372811000.0,374609000.0,374609000.0,374609000.0,374609000.0,399000.0,400000.0,400000.0,399420000.0,399707000.0,399707000.0,399707000.0,399707000.0,402380000.0,402380000.0,402380000.0,402380000.0,437085000.0,437085000.0,437085000.0
CommonStockSharesOutstanding / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399707000.0,399707000.0,399707000.0,,402380000.0,402380000.0,402380000.0,,437085000.0,437085000.0,437085000.0
CommonStockValue / USD,35825000.0,35825000.0,35825000.0,39160000.0,35825000.0,39160000.0,39160000.0,35825000.0,39160000.0,39391000.0,39391000.0,39391000.0,39391000.0,72240000.0,72240000.0,72240000.0,72240000.0,73904000.0,73904000.0,73904000.0,73904000.0,74488000.0,74488000.0,73904000.0,74488000.0,74488000.0,74656000.0,74656000.0,74656000.0,74656000.0,83579000.0,83579000.0,83579000.0,83579000.0,88514000.0,88514000.0,88514000.0,88514000.0,89029000.0,89029000.0,89029000.0,89029000.0,89125000.0,89125000.0,89125000.0,89125000.0,93185000.0,93185000.0,93185000.0,93185000.0,93185000.0,93635000.0,93635000.0,93635000.0,93635000.0,99838000.0,99838000.0,99838000.0,99838000.0,99912000.0,99912000.0,99912000.0,99912000.0,100648000.0,100648000.0,100648000.0,100648000.0,109119000.0,109119000.0,109119000.0
ComprehensiveIncomeNetOfTax / USD,186782000.0,186782000.0,291758000.0,310118000.0,291758000.0,310118000.0,310118000.0,291758000.0,186782000.0,256928000.0,256928000.0,256928000.0,310118000.0,50213000.0,70004000.0,163914000.0,253366000.0,92490000.0,163993000.0,278097000.0,359687000.0,110667000.0,223171000.0,359687000.0,343008000.0,364092000.0,119852000.0,266041000.0,365074000.0,449814000.0,111678000.0,267322000.0,279402000.0,469229000.0,136613000.0,255512000.0,399545000.0,397157000.0,202004000.0,362457000.0,980670000.0,599262000.0,99349000.0,269481000.0,374367000.0,1378884000.0,133465000.0,316388000.0,381461000.0,381461000.0,425005000.0,404273000.0,267751000.0,298220000.0,418197000.0,-55351000.0,25247000.0,76616000.0,419359000.0,43955000.0,4481000.0,14783000.0,38843000.0,13848000.0,143218000.0,80464000.0,-19726000.0,1891000.0,23423000.0,21603000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,62000.0,120000.0,-781000.0,,-534000.0,-823000.0,-884000.0,,905000.0,858000.0,905000.0,1161000.0,-1025000.0,227000.0,395000.0,827000.0,1160000.0,317000.0,782000.0,1047000.0,1234000.0,54000.0,332000.0,1064000.0,1379000.0,1021000.0,2158000.0,3391000.0,2259000.0,1395000.0,4176000.0,5485000.0,4642000.0,1803000.0,3172000.0,4831000.0,4831000.0,6514000.0,-8369000.0,-6739000.0,-3419000.0,7649000.0,4726000.0,8142000.0,7724000.0,3613000.0,5772000.0,5191000.0,885000.0,10418000.0,161000.0,5739000.0,6118000.0,4497000.0,646000.0,1059000.0,1712000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,50275000.0,70124000.0,163133000.0,256928000.0,91956000.0,163170000.0,277213000.0,358455000.0,111572000.0,224029000.0,358455000.0,344169000.0,363067000.0,120079000.0,266436000.0,365901000.0,450974000.0,111995000.0,268104000.0,280449000.0,470463000.0,136667000.0,255844000.0,400609000.0,398536000.0,203025000.0,364615000.0,984061000.0,601521000.0,100744000.0,273657000.0,379852000.0,1383526000.0,135268000.0,319560000.0,386292000.0,386292000.0,431519000.0,395904000.0,261012000.0,294801000.0,425846000.0,-50625000.0,33389000.0,84340000.0,422972000.0,49727000.0,9672000.0,15668000.0,49261000.0,14009000.0,148957000.0,86582000.0,-15229000.0,2537000.0,24482000.0,23315000.0
ConstructionInProgressGross / USD,,12591000.0,12591000.0,12508000.0,12591000.0,12508000.0,12508000.0,12591000.0,12508000.0,6519000.0,6519000.0,6519000.0,6519000.0,76638000.0,76638000.0,76638000.0,76638000.0,70665000.0,70665000.0,70665000.0,70665000.0,80415000.0,80415000.0,70665000.0,80415000.0,80415000.0,120123000.0,120123000.0,109689000.0,109689000.0,92005000.0,92005000.0,92005000.0,92005000.0,210599000.0,210599000.0,210599000.0,210599000.0,344151000.0,344151000.0,344151000.0,344151000.0,422334000.0,422334000.0,422334000.0,422334000.0,461354000.0,461354000.0,461815000.0,461815000.0,461815000.0,265748000.0,265748000.0,265748000.0,265748000.0,269315000.0,269315000.0,269315000.0,269315000.0,310456000.0,310456000.0,310456000.0,310456000.0,368143000.0,368143000.0,368143000.0,368143000.0,336231000.0,336231000.0,336231000.0
CostDirectLabor / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164761000.0,344706000.0,687806000.0,1042311000.0
