fact_unit,2021-03-05,2021-05-14,2021-08-13,2021-11-10,2022-03-01,2022-05-06,2022-08-05,2022-11-04,2023-02-27,2023-05-05,2023-08-02,2023-11-01,2024-02-20,2024-05-01,2024-08-01,2024-10-30,2025-02-14,2025-05-07,2025-08-06,2025-11-06
AvailableForSaleSecuritiesDebtSecuritiesCurrent / USD,508000000.0,514000000.0,514000000.0,514000000.0,514000000.0,1253000000.0,1253000000.0,1253000000.0,1253000000.0,1544000000.0,1544000000.0,1544000000.0,1544000000.0,1422000000.0,1422000000.0,1422000000.0,1422000000.0,1322000000.0,1322000000.0,1322000000.0
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent / USD,,,,0.0,0.0,650000000.0,650000000.0,650000000.0,650000000.0,397000000.0,397000000.0,397000000.0,397000000.0,583000000.0,583000000.0,583000000.0,583000000.0,835000000.0,835000000.0,835000000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet / USD,,,,,,,2842000000.0,2842000000.0,2838000000.0,2838000000.0,2838000000.0,2838000000.0,2838000000.0,,,,2838000000.0,,,
CapitalExpendituresIncurredButNotYetPaid / USD,3000000.0,11000000.0,21000000.0,9000000.0,14000000.0,11000000.0,21000000.0,24000000.0,17000000.0,33000000.0,39000000.0,42000000.0,23000000.0,27000000.0,20000000.0,18000000.0,34000000.0,16000000.0,18000000.0,29000000.0
CapitalizedComputerSoftwareAdditions / USD,4000000.0,11000000.0,23000000.0,38000000.0,15000000.0,43000000.0,90000000.0,140000000.0,61000000.0,67000000.0,145000000.0,223000000.0,202000000.0,88000000.0,176000000.0,264000000.0,303000000.0,88000000.0,182000000.0,280000000.0
CapitalizedComputerSoftwareAmortization1 / USD,3000000.0,2000000.0,5000000.0,10000000.0,5000000.0,7000000.0,21000000.0,39000000.0,17000000.0,29000000.0,64000000.0,108000000.0,63000000.0,79000000.0,118000000.0,185000000.0,157000000.0,79000000.0,157000000.0,236000000.0
CapitalizedContractCostAmortization / USD,1000000.0,2000000.0,4000000.0,6000000.0,4000000.0,5000000.0,10000000.0,15000000.0,10000000.0,6000000.0,14000000.0,22000000.0,20000000.0,10000000.0,21000000.0,33000000.0,32000000.0,14000000.0,28000000.0,43000000.0
CapitalizedContractCostNet / USD,2000000.0,21000000.0,21000000.0,21000000.0,6000000.0,43000000.0,43000000.0,43000000.0,21000000.0,62000000.0,62000000.0,62000000.0,43000000.0,100000000.0,100000000.0,100000000.0,62000000.0,137000000.0,137000000.0,137000000.0
CapitalizedContractCostNetCurrent / USD,2000000.0,4000000.0,4000000.0,11000000.0,4000000.0,17000000.0,19000000.0,22000000.0,16000000.0,27000000.0,29000000.0,32000000.0,25000000.0,39000000.0,42000000.0,46000000.0,36000000.0,54000000.0,58000000.0,62000000.0
CapitalizedContractCostNetNoncurrent / USD,4000000.0,20000000.0,24000000.0,25000000.0,17000000.0,27000000.0,28000000.0,32000000.0,27000000.0,42000000.0,46000000.0,54000000.0,37000000.0,68000000.0,75000000.0,81000000.0,64000000.0,87000000.0,91000000.0,93000000.0
CashAndCashEquivalentsAtCarryingValue / USD,215000000.0,469000000.0,995000000.0,1096000000.0,257000000.0,4007000000.0,3334000000.0,2861000000.0,4345000000.0,2243000000.0,2727000000.0,2320000000.0,2504000000.0,1833000000.0,1904000000.0,2344000000.0,1977000000.0,3124000000.0,3430000000.0,3664000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,65000000.0,287000000.0,287000000.0,287000000.0,215000000.0,4345000000.0,4345000000.0,4345000000.0,287000000.0,2506000000.0,2506000000.0,2506000000.0,4345000000.0,2188000000.0,2188000000.0,2188000000.0,2506000000.0,2772000000.0,2772000000.0,2772000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,150000000.0,212000000.0,736000000.0,900000000.0,72000000.0,-337000000.0,-1010000000.0,-1483000000.0,4058000000.0,-260000000.0,225000000.0,-179000000.0,-1839000000.0,-2000000.0,-55000000.0,247000000.0,-318000000.0,475000000.0,848000000.0,1126000000.0
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights / shares,,,,,,,,,,,,,,,,,,,9400000.0,9400000.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,293602000.0,,,,107450000.0,,9760000.0,9760000.0,95366000.0,,,,9760000.0,,,,9760000.0,,,
CommonStockParOrStatedValuePerShare / USD/shares,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
CommonStockValue / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ComprehensiveIncomeNetOfTax / USD,-205000000.0,-126000000.0,-104000000.0,-148000000.0,-666000000.0,-110000000.0,-212000000.0,-313000000.0,-461000000.0,-177000000.0,-533000000.0,-1013000000.0,-472000000.0,-110000000.0,-289000000.0,-439000000.0,-1394000000.0,-97000000.0,-278000000.0,31000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,0.0,0.0,0.0,0.0,-2000000.0,0.0,-1000000.0,-3000000.0,-5000000.0,-4000000.0,-2000000.0,-3000000.0,-4000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,-313000000.0,-461000000.0,-177000000.0,-533000000.0,-1015000000.0,-472000000.0,-111000000.0,-292000000.0,-444000000.0,-1398000000.0,-99000000.0,-281000000.0,27000000.0
ContractWithCustomerLiability / USD,13000000.0,108000000.0,108000000.0,108000000.0,108000000.0,183000000.0,183000000.0,183000000.0,183000000.0,251000000.0,251000000.0,251000000.0,251000000.0,308000000.0,308000000.0,308000000.0,308000000.0,396000000.0,396000000.0,396000000.0
ContractWithCustomerLiabilityCumulativeCatchUpAdjustmentToRevenueChangeInEstimateOfTransactionPrice / USD,,,,36000000.0,48000000.0,,,,48000000.0,,,,48000000.0,,,,47000000.0,,,
ContractWithCustomerLiabilityCurrent / USD,13000000.0,108000000.0,108000000.0,108000000.0,108000000.0,183000000.0,183000000.0,183000000.0,183000000.0,251000000.0,251000000.0,251000000.0,251000000.0,308000000.0,308000000.0,308000000.0,308000000.0,396000000.0,396000000.0,396000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,22000000.0,22000000.0,22000000.0,22000000.0,42000000.0,50000000.0,60000000.0,68000000.0,70000000.0,96000000.0,114000000.0,129000000.0,98000000.0,136000000.0,163000000.0,-181000000.0,132000000.0,187000000.0,223000000.0
ConvertibleLongTermNotesPayable / USD,,,,,,,,,,,,,,,,,,,0.0,0.0
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization / USD,228000000.0,194000000.0,517000000.0,899000000.0,523000000.0,563000000.0,1118000000.0,1703000000.0,1368000000.0,763000000.0,1643000000.0,2574000000.0,2338000000.0,1069000000.0,2204000000.0,3360000000.0,3588000000.0,1330000000.0,2715000000.0,4089000000.0
CostsAndExpenses / USD,501000000.0,485000000.0,1133000000.0,2047000000.0,1501000000.0,1176000000.0,2511000000.0,3886000000.0,3322000000.0,1629000000.0,3510000000.0,5519000000.0,5340000000.0,2206000000.0,4550000000.0,6822000000.0,7707000000.0,2574000000.0,5405000000.0,8004000000.0
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,,,3000000.0,,,,4000000.0,,,,4000000.0,,,
DebtSecuritiesAvailableForSaleAllowanceForCreditLoss / USD,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredCostsCurrent / USD,,,,,,,,,,,,,,,,,51000000.0,64000000.0,64000000.0,64000000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,,,,,,0.0,,,,1000000.0,,,,-35000000.0,,,
DeferredIncomeTaxLiabilities / USD,47000000.0,,,,80000000.0,,,,134000000.0,,,,245000000.0,,,,280000000.0,,,
DeferredTaxAssetsGross / USD,307000000.0,,,,434000000.0,,,,1528000000.0,,,,1897000000.0,,,,2135000000.0,,,
DeferredTaxAssetsNet / USD,47000000.0,,,,77000000.0,,,,130000000.0,,,,242000000.0,,,,277000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,200000000.0,,,,180000000.0,,,,1050000000.0,,,,660000000.0,,,,697000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic / USD,689000000.0,,,,4125000000.0,,,,2100000000.0,,,,1700000000.0,,,,1800000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal / USD,547000000.0,,,,3265000000.0,,,,1600000000.0,,,,1200000000.0,,,,1700000000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,0.0,,,,88000000.0,,,,103000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,12000000.0,,,,23000000.0,,,,237000000.0,,,,209000000.0,,,,245000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,5000000.0,,,,72000000.0,,,,36000000.0,,,,74000000.0,,,,43000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,44000000.0,,,,95000000.0,,,,104000000.0,,,,132000000.0,,,,234000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,260000000.0,,,,357000000.0,,,,1398000000.0,,,,1655000000.0,,,,1858000000.0,,,
DeferredTaxLiabilities / USD,,,,,,,,,,,,,,,,,3000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,42000000.0,,,,51000000.0,,,,83000000.0,,,,94000000.0,,,,98000000.0,,,
Depreciation / USD,6000000.0,9000000.0,21000000.0,35000000.0,20000000.0,18000000.0,38000000.0,58000000.0,52000000.0,27000000.0,54000000.0,83000000.0,80000000.0,32000000.0,66000000.0,97000000.0,113000000.0,32000000.0,63000000.0,90000000.0
DepreciationDepletionAndAmortization / USD,9000000.0,24000000.0,55000000.0,89000000.0,32000000.0,29000000.0,66000000.0,107000000.0,120000000.0,59000000.0,140000000.0,258000000.0,156000000.0,123000000.0,251000000.0,379000000.0,369000000.0,142000000.0,282000000.0,420000000.0
EarningsPerShareBasic / USD/shares,,,-2.39,-3.34,-15.44,-0.34,-0.64,-0.94,-7.39,-0.48,-1.21,-1.98,-1.39,-0.41,-0.85,-1.03,-3.68,-0.06,-0.44,-0.04
EarningsPerShareDiluted / USD/shares,,,-2.39,-3.34,-15.44,-0.34,-0.64,-0.94,-7.39,-0.48,-1.21,-1.98,-1.39,-0.41,-0.85,-1.03,-3.68,-0.06,-0.44,-0.04
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,0.0,-2000000.0,,0.0,0.0,0.0,0.0,-1000000.0,2000000.0,1000000.0,-8000000.0,-28000000.0,-1000000.0,1000000.0,-2000000.0,-16000000.0,-10000000.0,-13000000.0,-18000000.0,4000000.0
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,0.0,0.0,2000000.0,2000000.0,0.0,21000000.0,45000000.0,66000000.0,8000000.0,28000000.0,66000000.0,99000000.0,93000000.0,35000000.0,80000000.0,119000000.0,132000000.0,37000000.0,79000000.0,121000000.0
EntityPublicFloat / USD,19900000000.0,,,,32500000000.0,,,,20600000000.0,,,,24900000000.0,,,,38200000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,,,,,0.0,409000000.0,409000000.0,409000000.0,409000000.0,124000000.0,124000000.0,124000000.0,124000000.0,46000000.0,46000000.0,46000000.0,46000000.0,42000000.0,42000000.0,42000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount / USD,,,,,,,,,,,,,0.0,,,,312000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,,,,,,,,,,,,,0.0,,,,9000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,0.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,11000000.0,11000000.0,11000000.0
EscrowDeposit / USD,,,,,,,,,,,,,,,,,,,2500000000.0,3900000000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,7000000.0,58000000.0,58000000.0,58000000.0,58000000.0,71000000.0,71000000.0,71000000.0,71000000.0,173000000.0,173000000.0,173000000.0,173000000.0,305000000.0,305000000.0,305000000.0,305000000.0,403000000.0,403000000.0,403000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,33000000.0,,,,27000000.0,,,,263000000.0,,,,208000000.0,,,,144000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,13000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,118000000.0,116000000.0,126000000.0,123000000.0,123000000.0,120000000.0,125000000.0,101000000.0,101000000.0,105000000.0,98000000.0,85000000.0,140000000.0,146000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,9000000.0,6000000.0,3000000.0,,11000000.0,77000000.0,31000000.0,,94000000.0,61000000.0,30000000.0,,94000000.0,62000000.0,32000000.0,,71000000.0,70000000.0,36000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,6000000.0,,,,6000000.0,,,,77000000.0,,,,64000000.0,,,,50000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,9000000.0,78000000.0,73000000.0,80000000.0,79000000.0,78000000.0,76000000.0,80000000.0,63000000.0,62000000.0,65000000.0,61000000.0,53000000.0,101000000.0,102000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,9000000.0,92000000.0,90000000.0,97000000.0,81000000.0,82000000.0,80000000.0,82000000.0,79000000.0,78000000.0,81000000.0,76000000.0,63000000.0,117000000.0,122000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,10000000.0,6000000.0,6000000.0,6000000.0,6000000.0,10000000.0,114000000.0,112000000.0,122000000.0,99000000.0,98000000.0,97000000.0,100000000.0,83000000.0,83000000.0,86000000.0,81000000.0,80000000.0,135000000.0,143000000.0
FiniteLivedIntangibleAssetsGross / USD,110000000.0,132000000.0,132000000.0,132000000.0,132000000.0,132000000.0,132000000.0,132000000.0,132000000.0,938000000.0,938000000.0,938000000.0,938000000.0,964000000.0,964000000.0,964000000.0,964000000.0,913000000.0,913000000.0,913000000.0
FiniteLivedIntangibleAssetsNet / USD,103000000.0,74000000.0,74000000.0,74000000.0,74000000.0,61000000.0,61000000.0,61000000.0,61000000.0,765000000.0,765000000.0,765000000.0,765000000.0,659000000.0,659000000.0,659000000.0,659000000.0,510000000.0,510000000.0,510000000.0
GeneralAndAdministrativeExpense / USD,78000000.0,82000000.0,170000000.0,337000000.0,245000000.0,169000000.0,385000000.0,573000000.0,556000000.0,245000000.0,536000000.0,847000000.0,797000000.0,285000000.0,626000000.0,915000000.0,1147000000.0,319000000.0,813000000.0,1128000000.0
Goodwill / USD,0.0,316000000.0,316000000.0,316000000.0,306000000.0,316000000.0,316000000.0,316000000.0,316000000.0,2370000000.0,2370000000.0,2370000000.0,316000000.0,2432000000.0,2432000000.0,2432000000.0,2370000000.0,2315000000.0,2315000000.0,2315000000.0
GoodwillAcquiredDuringPeriod / USD,306000000.0,,,,10000000.0,60000000.0,2053000000.0,2053000000.0,0.0,,,,2054000000.0,,,,,21000000.0,968000000.0,968000000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,,,,,,-54000000.0,-171000000.0,,30000000.0,23000000.0,-28000000.0,59000000.0,-46000000.0,-61000000.0,28000000.0,59000000.0,76000000.0,247000000.0,251000000.0
GoodwillImpairmentLoss / USD,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GoodwillPurchaseAccountingAdjustments / USD,,,,,,,,,,3000000.0,3000000.0,3000000.0,3000000.0,,,,3000000.0,,-1000000.0,36000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,-204000000.0,,,,-666000000.0,,,,-463000000.0,,,,-461000000.0,,,,-991000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,-147000000.0,-666000000.0,-109000000.0,-209000000.0,-310000000.0,-458000000.0,-167000000.0,-439000000.0,-740000000.0,-463000000.0,-145000000.0,-326000000.0,-395000000.0,-1399000000.0,-18000000.0,-175000000.0,-20000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,0.0,,,,0.0,,,,5000000.0,,,,-2000000.0,,,,-408000000.0,,,
IncomeTaxExpenseBenefit / USD,0.0,1000000.0,1000000.0,2000000.0,1000000.0,1000000.0,3000000.0,3000000.0,3000000.0,0.0,-9000000.0,-14000000.0,5000000.0,17000000.0,8000000.0,14000000.0,-31000000.0,7000000.0,8000000.0,2000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,,,,,,,,,839000000.0,,,,179000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,,,,,,,-97000000.0,,,,-294000000.0,,,
IncomeTaxReconciliationNondeductibleExpense / USD,,,,,,,,,,,,,6000000.0,,,,14000000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,,,,,,,,,,-597000000.0,,,,6000000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,,,,,,,0.0,,,,-13000000.0,,,
IncomeTaxReconciliationRepatriationOfForeignEarnings / USD,,,,,,,,,,,,,1000000.0,,,,55000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,,,,,,,,,3000000.0,,,,0.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,,,,,,,150000000.0,,,,-22000000.0,,,
IncreaseDecreaseInAccountsPayable / USD,25000000.0,15000000.0,43000000.0,12000000.0,-13000000.0,0.0,17000000.0,8000000.0,54000000.0,34000000.0,38000000.0,66000000.0,79000000.0,61000000.0,20000000.0,6000000.0,-15000000.0,-12000000.0,-52000000.0,-31000000.0
IncreaseDecreaseInAccountsReceivable / USD,17000000.0,70000000.0,166000000.0,139000000.0,40000000.0,7000000.0,-14000000.0,26000000.0,248000000.0,-25000000.0,-20000000.0,-41000000.0,94000000.0,-17000000.0,-12000000.0,26000000.0,33000000.0,18000000.0,63000000.0,102000000.0
IncreaseDecreaseInAccruedLiabilities / USD,48000000.0,81000000.0,210000000.0,452000000.0,251000000.0,27000000.0,153000000.0,241000000.0,587000000.0,-44000000.0,-6000000.0,156000000.0,595000000.0,51000000.0,181000000.0,469000000.0,566000000.0,306000000.0,571000000.0,494000000.0
IncreaseDecreaseInOtherNoncurrentAssets / USD,5000000.0,5000000.0,12000000.0,14000000.0,18000000.0,4000000.0,17000000.0,32000000.0,20000000.0,23000000.0,44000000.0,66000000.0,51000000.0,8000000.0,23000000.0,45000000.0,90000000.0,49000000.0,81000000.0,-89000000.0
IncreaseDecreaseInOtherNoncurrentLiabilities / USD,10000000.0,4000000.0,5000000.0,11000000.0,-23000000.0,,1000000.0,2000000.0,11000000.0,0.0,-8000000.0,-17000000.0,-5000000.0,5000000.0,7000000.0,8000000.0,-29000000.0,7000000.0,11000000.0,20000000.0
IncreaseDecreaseInSelfInsuranceReserve / USD,,,,,12000000.0,,,,63000000.0,,,,134000000.0,,,,359000000.0,,,
IntangibleAssetsNetExcludingGoodwill / USD,103000000.0,74000000.0,74000000.0,74000000.0,74000000.0,61000000.0,61000000.0,61000000.0,61000000.0,765000000.0,765000000.0,765000000.0,765000000.0,659000000.0,659000000.0,659000000.0,659000000.0,510000000.0,510000000.0,510000000.0
InvestmentIncomeNet / USD,,,,,,,,,,,,,-11000000.0,27000000.0,61000000.0,101000000.0,30000000.0,45000000.0,94000000.0,148000000.0
LeaseCost / USD,29000000.0,,,,29000000.0,,,,46000000.0,,,,66000000.0,,,,86000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,533000000.0,,,,592000000.0,,,,706000000.0,,,,750000000.0,,,,703000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,319000000.0,,,,293000000.0,,,,274000000.0,,,,308000000.0,,,,259000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,36000000.0,,,,53000000.0,,,,96000000.0,,,,100000000.0,,,,101000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,42000000.0,,,,58000000.0,,,,63000000.0,,,,71000000.0,,,,73000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,44000000.0,,,,60000000.0,,,,84000000.0,,,,78000000.0,,,,79000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,46000000.0,,,,63000000.0,,,,91000000.0,,,,95000000.0,,,,87000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,46000000.0,,,,65000000.0,,,,98000000.0,,,,98000000.0,,,,104000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,145000000.0,,,,165000000.0,,,,157000000.0,,,,160000000.0,,,,147000000.0,,,
LettersOfCreditOutstandingAmount / USD,30000000.0,,,,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,132000000.0,132000000.0,132000000.0,132000000.0,138000000.0,138000000.0,138000000.0,138000000.0,141000000.0,141000000.0,141000000.0
Liabilities / USD,550000000.0,1653000000.0,1653000000.0,1653000000.0,1653000000.0,2142000000.0,2142000000.0,2142000000.0,2142000000.0,3021000000.0,3021000000.0,3021000000.0,3021000000.0,4026000000.0,4026000000.0,4026000000.0,4026000000.0,5035000000.0,5035000000.0,5035000000.0
LiabilitiesAndStockholdersEquity / USD,1732000000.0,6353000000.0,6353000000.0,6353000000.0,6353000000.0,6809000000.0,6809000000.0,6809000000.0,6809000000.0,9789000000.0,9789000000.0,9789000000.0,9789000000.0,10839000000.0,10839000000.0,10839000000.0,10839000000.0,12845000000.0,12845000000.0,12845000000.0
LiabilitiesCurrent / USD,382000000.0,1402000000.0,1402000000.0,1402000000.0,1402000000.0,1760000000.0,1760000000.0,1760000000.0,1760000000.0,2544000000.0,2544000000.0,2544000000.0,2544000000.0,3410000000.0,3410000000.0,3410000000.0,3410000000.0,4438000000.0,4438000000.0,4438000000.0
LitigationReserveCurrent / USD,99000000.0,178000000.0,178000000.0,178000000.0,178000000.0,107000000.0,107000000.0,107000000.0,107000000.0,37000000.0,37000000.0,37000000.0,37000000.0,75000000.0,75000000.0,75000000.0,75000000.0,160000000.0,160000000.0,160000000.0
NetCashProvidedByUsedInFinancingActivities / USD,666000000.0,334000000.0,714000000.0,714000000.0,1109000000.0,-496000000.0,-492000000.0,-487000000.0,3996000000.0,5000000.0,8000000.0,-376000000.0,-483000000.0,-390000000.0,-698000000.0,-702000000.0,-375000000.0,7000000.0,2000000.0,-211000000.0
