fact_unit,2023-02-15,2023-04-25,2023-07-25,2023-10-31,2024-02-06,2024-04-30,2024-07-31,2024-10-30,2025-02-13,2025-04-30,2025-07-30,2025-10-29
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,-55000000.0,-31000000.0,-57000000.0,-451000000.0,883000000.0,494000000.0,969000000.0,890000000.0,59000000.0,-488000000.0,1066000000.0
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths / USD,,-27000000.0,14000000.0,10000000.0,-21000000.0,-3000000.0,7000000.0,-35000000.0,22000000.0,14000000.0,-15000000.0,-3000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,,,,0.0,,,0.0,-21000000.0,,,-4000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,0.06,0.09,0.12,0.03,0.06,0.09,0.12,0.03,0.06,0.09
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,,100.0,100.0,100.0,100.0,455342290.0,455342290.0,455342290.0,455342290.0,457246971.0,457246971.0,457246971.0
CommonStockSharesOutstanding / shares,,100.0,100.0,100.0,100.0,455342290.0,455342290.0,,454000000.0,,,
CommonStockValue / USD,,0.0,0.0,0.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
ComprehensiveIncomeNetOfTax / USD,,255000000.0,262000000.0,457000000.0,2049000000.0,325000000.0,738000000.0,763000000.0,1073000000.0,278000000.0,648000000.0,1192000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,13000000.0,26000000.0,32000000.0,46000000.0,11000000.0,26000000.0,-2000000.0,51000000.0,14000000.0,21000000.0,40000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,268000000.0,288000000.0,489000000.0,2095000000.0,336000000.0,764000000.0,761000000.0,1124000000.0,292000000.0,669000000.0,1232000000.0
ContractWithCustomerAssetNetCurrent / USD,,584000000.0,584000000.0,584000000.0,584000000.0,600000000.0,600000000.0,600000000.0,600000000.0,589000000.0,589000000.0,589000000.0
ContractWithCustomerAssetNetNoncurrent / USD,,37000000.0,37000000.0,37000000.0,37000000.0,72000000.0,72000000.0,72000000.0,72000000.0,103000000.0,103000000.0,103000000.0
ContractWithCustomerLiability / USD,,2526000000.0,2526000000.0,2526000000.0,2526000000.0,2623000000.0,2623000000.0,2623000000.0,2623000000.0,2629000000.0,2629000000.0,2629000000.0
ContractWithCustomerLiabilityCurrent / USD,,1896000000.0,1896000000.0,1896000000.0,1896000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1943000000.0,1943000000.0,1943000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,630000000.0,630000000.0,630000000.0,630000000.0,705000000.0,705000000.0,705000000.0,705000000.0,686000000.0,686000000.0,686000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,715000000.0,1083000000.0,1377000000.0,1562000000.0,759000000.0,1105000000.0,1357000000.0,1554000000.0,741000000.0,1116000000.0,1381000000.0
ContractWithCustomerRefundLiabilityCurrent / USD,,157000000.0,157000000.0,157000000.0,157000000.0,144000000.0,144000000.0,144000000.0,144000000.0,153000000.0,153000000.0,153000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,141000000.0,,,,396000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,422000000.0,,,,324000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,55000000.0,,,,97000000.0,,,
DebtInstrumentCarryingAmount / USD,,8288000000.0,8288000000.0,8288000000.0,8296000000.0,9452000000.0,9452000000.0,9452000000.0,9452000000.0,9036000000.0,9036000000.0,9036000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,47000000.0,47000000.0,47000000.0,47000000.0,35000000.0,35000000.0,35000000.0,35000000.0,33000000.0,33000000.0,33000000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,36000000.0,,,,45000000.0,,,
DeferredCosts / USD,,82000000.0,82000000.0,82000000.0,82000000.0,96000000.0,96000000.0,96000000.0,96000000.0,105000000.0,105000000.0,105000000.0
DeferredCostsCurrent / USD,,405000000.0,405000000.0,405000000.0,405000000.0,400000000.0,400000000.0,400000000.0,400000000.0,385000000.0,385000000.0,385000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,82000000.0,,,,-213000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,-101000000.0,,,,7000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,1550000000.0,1550000000.0,1550000000.0,1550000000.0,4474000000.0,4474000000.0,4474000000.0,4474000000.0,4474000000.0,4474000000.0,4474000000.0
DeferredIncomeTaxLiabilities / USD,,,,,511000000.0,,,,152000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,370000000.0,370000000.0,370000000.0,370000000.0,68000000.0,68000000.0,68000000.0,68000000.0,56000000.0,56000000.0,56000000.0
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent / USD,,,,,182000000.0,208000000.0,208000000.0,208000000.0,208000000.0,237000000.0,237000000.0,237000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,1000000.0,,,,-48000000.0,,,
DeferredTaxAssetInterestCarryforward / USD,,,,,0.0,,,,61000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,0.0,,,,1461000000.0,,,
DeferredTaxAssetsGross / USD,,,,,1963000000.0,,,,5099000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,1180000000.0,,,,4406000000.0,,,
DeferredTaxAssetsNet / USD,,3099000000.0,3099000000.0,3099000000.0,1691000000.0,,,,4559000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,176000000.0,,,,648000000.0,,,
DeferredTaxAssetsOther / USD,,,,,0.0,,,,111000000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,338000000.0,,,,261000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,128000000.0,,,,59000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,964000000.0,964000000.0,964000000.0,222000000.0,,,,1418000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,,,,,,458000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,250000000.0,,,,279000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,47000000.0,,,,50000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,6000000.0,,,,102000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,30000000.0,30000000.0,30000000.0,21000000.0,30000000.0,30000000.0,30000000.0,21000000.0,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,,7729000000.0,,,,8000000000.0,,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,22906000000.0,22906000000.0,22906000000.0,687000000.0,,,,22906000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax / USD,,2481000000.0,2481000000.0,2481000000.0,2481000000.0,,,,2481000000.0,,,
DefinedBenefitPlanActuarialGainLossImmediateRecognitionAsComponentInNetPeriodicBenefitCostCredit / USD,,0.0,0.0,0.0,0.0,-13000000.0,-19000000.0,-24000000.0,0.0,-8000000.0,-17000000.0,-26000000.0
DefinedBenefitPlanBenefitObligation / USD,,22953000000.0,22953000000.0,22953000000.0,22953000000.0,,,,22953000000.0,,,
DefinedBenefitPlanExpectedAmortizationOfGainLossNextFiscalYear / USD,,,,,116000000.0,,,,119000000.0,,,
DefinedBenefitPlanExpectedAmortizationOfPriorServiceCostCreditNextFiscalYear / USD,,,,,-81000000.0,,,,-93000000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,336000000.0,336000000.0,336000000.0,336000000.0,327000000.0,327000000.0,350000000.0,350000000.0
DefinedBenefitPlanFairValueOfPlanAssets / USD,,18908000000.0,18908000000.0,18908000000.0,18908000000.0,,,,18908000000.0,,,
DefinedBenefitPlanFundedStatusOfPlan / USD,,-4045000000.0,-4045000000.0,-4045000000.0,-4045000000.0,,,,-4045000000.0,,,
DefinedBenefitPlanHealthCareCostTrendRateAssumedNextFiscalYear / pure,,,,,0.065,,,,0.08,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets / USD,,,,,63000000.0,,,,15433000000.0,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsProjectedBenefitObligation / USD,,,,,406000000.0,,,,20808000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,,,,390000000.0,,,,20774000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,,,,63000000.0,,,,15433000000.0,,,
DefinedBenefitPlanUltimateHealthCareCostTrendRate1 / pure,,,,,0.05,,,,0.045,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,31000000.0,66000000.0,96000000.0,119000000.0,33000000.0,66000000.0,94000000.0,123000000.0,32000000.0,73000000.0,100000000.0
Depreciation / USD,,56000000.0,112000000.0,169000000.0,225000000.0,61000000.0,124000000.0,188000000.0,228000000.0,68000000.0,137000000.0,203000000.0
DerivativeAssetsCurrent / USD,,,,,63000000.0,84000000.0,84000000.0,84000000.0,84000000.0,123000000.0,123000000.0,123000000.0
DerivativeFairValueOfDerivativeAsset / USD,,66000000.0,66000000.0,66000000.0,66000000.0,128000000.0,128000000.0,128000000.0,128000000.0,145000000.0,145000000.0,145000000.0
DerivativeFairValueOfDerivativeLiability / USD,,209000000.0,209000000.0,209000000.0,209000000.0,269000000.0,269000000.0,269000000.0,269000000.0,155000000.0,155000000.0,155000000.0
DerivativeLiabilitiesCurrent / USD,,,,,86000000.0,128000000.0,128000000.0,128000000.0,128000000.0,90000000.0,90000000.0,90000000.0
DerivativeLiabilitiesNoncurrent / USD,,,,,119000000.0,136000000.0,136000000.0,136000000.0,136000000.0,64000000.0,64000000.0,64000000.0
DerivativeNotionalAmount / USD,,8488000000.0,8488000000.0,8488000000.0,8488000000.0,9591000000.0,9591000000.0,9591000000.0,9591000000.0,11930000000.0,11930000000.0,11930000000.0
Dividends / USD,,,27000000.0,41000000.0,55000000.0,14000000.0,27000000.0,41000000.0,55000000.0,14000000.0,28000000.0,41000000.0
EarningsPerShareBasic / USD/shares,,0.86,1.93,3.0,4.95,0.42,1.34,2.16,4.22,0.82,1.76,2.79
EarningsPerShareDiluted / USD/shares,,0.86,1.93,3.0,4.95,0.41,1.33,2.15,4.22,0.81,1.75,2.77
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,-3000000.0,-15000000.0,-40000000.0,-34000000.0,8000000.0,-3000000.0,-34000000.0,-3000000.0,-19000000.0,-41000000.0,-2000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,0.246,0.242,0.23,0.209,0.299,0.269,0.314,0.224,0.242,0.245,0.249
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,,11000000.0,,,,4000000.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,,,,,853000000.0,1518000000.0,1518000000.0,1518000000.0,1518000000.0,1521000000.0,1521000000.0,1521000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,212000000.0,202000000.0,174000000.0,149000000.0,,,,146000000.0,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,8000000.0,11000000.0,15000000.0,23000000.0,,,,23000000.0,,,
EntityCommonStockSharesOutstanding / shares,453926139.0,454677236.0,454838213.0,455242974.0,455357229.0,456465369.0,456662253.0,456872979.0,457298310.0,457884998.0,456562037.0,455521592.0
EntityPublicFloat / USD,0.0,,,,32000000000.0,,,,33000000000.0,,,
EquityMethodInvestments / USD,,,,,182000000.0,,,,170000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,,117000000.0,117000000.0,117000000.0,117000000.0,,,,156000000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,,,39000000.0,38000000.0,38000000.0,38000000.0,38000000.0,40000000.0,40000000.0,40000000.0
FinancingReceivableNonaccrualPercentPastDue1 / pure,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.03
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,3490000000.0,,,,3419000000.0,3477000000.0,3477000000.0,3477000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,303000000.0,,,,275000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,71000000.0,,,,72000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,122000000.0,,,,91000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,207000000.0,,,,142000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,259000000.0,,,,226000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,4597000000.0,4481000000.0,4481000000.0,4481000000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,,,,,1178000000.0,1004000000.0,1004000000.0,1004000000.0
FinitelivedIntangibleAssetsAcquired1 / USD,,,,,62000000.0,,,,117000000.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,130000000.0,,,,-88000000.0,,,
GainLossOnDispositionOfAssets1 / USD,,,3000000.0,1000000.0,2000000.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0
GainLossOnInvestments / USD,,-8000000.0,-22000000.0,-23000000.0,3000000.0,5000000.0,-1000000.0,1000000.0,-31000000.0,-20000000.0,-26000000.0,-26000000.0
GainLossOnSalesOfAssetsAndAssetImpairmentCharges / USD,,,0.0,-22000000.0,-8000000.0,-1000000.0,-5000000.0,-6000000.0,-26000000.0,-7000000.0,-13000000.0,-14000000.0
Goodwill / USD,,12813000000.0,12813000000.0,12813000000.0,12892000000.0,12936000000.0,12936000000.0,12936000000.0,12813000000.0,13136000000.0,13136000000.0,13136000000.0
GoodwillAcquiredDuringPeriod / USD,,105000000.0,110000000.0,110000000.0,0.0,0.0,195000000.0,195000000.0,110000000.0,216000000.0,214000000.0,243000000.0
GoodwillImpairmentLoss / USD,,,,,0.0,,,,0.0,,,
GoodwillTransfers / USD,,,,,,,,0.0,0.0,,,
GoodwillTranslationAndPurchaseAccountingAdjustments / USD,,6000000.0,6000000.0,-9000000.0,-79000000.0,-10000000.0,-15000000.0,6000000.0,13000000.0,20000000.0,66000000.0,62000000.0
GrossProfit / USD,,1678000000.0,3474000000.0,5247000000.0,7174000000.0,1891000000.0,3831000000.0,5766000000.0,7179000000.0,1902000000.0,3904000000.0,5930000000.0
GuaranteeObligationsCurrentCarryingValue / USD,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0
GuaranteeObligationsMaximumExposure / USD,,164000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0,,,
HedgedLiabilityFairValueHedge / USD,,,,,1023000000.0,1023000000.0,1023000000.0,1023000000.0,1023000000.0,2644000000.0,2644000000.0,2644000000.0
HedgedLiabilityFairValueHedgeCumulativeIncreaseDecrease / USD,,,,,0.0,25000000.0,25000000.0,25000000.0,25000000.0,-51000000.0,-51000000.0,-51000000.0
HostingArrangementServiceContractImplementationCostCapitalizedAfterAccumulatedAmortization / USD,,,,,,,,,,84000000.0,84000000.0,84000000.0
ImpairmentOfIntangibleAssetsFinitelived / USD,,,,,0.0,,,,0.0,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill / USD,,,,,0.0,,,,0.0,,,
IncomeLossFromContinuingOperations / USD,,,862000000.0,1350000000.0,2229000000.0,,,1169000000.0,1898000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,,1587000000.0,,,,1090000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,533000000.0,1172000000.0,1794000000.0,2875000000.0,546000000.0,1116000000.0,1752000000.0,2512000000.0,512000000.0,1090000000.0,1747000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,,1288000000.0,,,,1422000000.0,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest / USD,,,888000000.0,1382000000.0,2275000000.0,,,1202000000.0,1949000000.0,,,1312000000.0
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,,,1.9,2.97,4.91,,,2.17,4.18,,,
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,,,1.9,2.97,4.91,,,2.16,4.18,,,
IncomeLossFromDiscontinuedOperationsNetOfTax / USD,,,12000000.0,12000000.0,18000000.0,,,-4000000.0,18000000.0,,,0.0
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare / USD/shares,,,0.03,0.03,0.04,,,-0.01,0.04,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare / USD/shares,,,0.03,0.03,0.04,,,-0.01,0.04,,,
IncomeLossFromEquityMethodInvestments / USD,,3000000.0,9000000.0,12000000.0,27000000.0,4000000.0,9000000.0,9000000.0,13000000.0,1000000.0,3000000.0,5000000.0
IncomeTaxExpenseBenefit / USD,,131000000.0,284000000.0,412000000.0,600000000.0,163000000.0,300000000.0,550000000.0,563000000.0,124000000.0,267000000.0,435000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,33000000.0,,,,8000000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,,-54000000.0,,,,43000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,604000000.0,,,,528000000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,5000000.0,,,,4000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,45000000.0,,,,39000000.0,,,
IncomeTaxReconciliationTaxContingencies / USD,,,,,11000000.0,,,,6000000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,32000000.0,,,,33000000.0,,,
IncomeTaxesPaidNet / USD,,203000000.0,443000000.0,664000000.0,615000000.0,102000000.0,271000000.0,375000000.0,851000000.0,86000000.0,287000000.0,375000000.0
IncomeTaxesReceivable / USD,,,,,,,,,53000000.0,115000000.0,115000000.0,115000000.0
IncreaseDecreaseInAccountsAndOtherReceivables / USD,,139000000.0,161000000.0,107000000.0,1336000000.0,22000000.0,32000000.0,82000000.0,231000000.0,-165000000.0,-126000000.0,-101000000.0
IncreaseDecreaseInAccountsPayable / USD,,319000000.0,282000000.0,369000000.0,263000000.0,87000000.0,-40000000.0,-93000000.0,481000000.0,31000000.0,-97000000.0,-67000000.0
IncreaseDecreaseInContractWithCustomerLiability / USD,,77000000.0,84000000.0,49000000.0,-21000000.0,119000000.0,111000000.0,69000000.0,138000000.0,-18000000.0,-20000000.0,-25000000.0
IncreaseDecreaseInDueFromRelatedParties / USD,,5000000.0,1000000.0,-22000000.0,-157000000.0,-5000000.0,-10000000.0,-9000000.0,-13000000.0,,,
IncreaseDecreaseInDueToRelatedParties / USD,,16000000.0,-48000000.0,-45000000.0,-21000000.0,6000000.0,-11000000.0,-87000000.0,-33000000.0,,,
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,,,,,,,-114000000.0,37000000.0,-37000000.0,-34000000.0,-266000000.0,-97000000.0
IncreaseDecreaseInInventories / USD,,244000000.0,447000000.0,542000000.0,435000000.0,122000000.0,172000000.0,85000000.0,402000000.0,59000000.0,116000000.0,157000000.0
IndefiniteLivedIntangibleAssetsExcludingGoodwill / USD,,,,,62000000.0,,,,75000000.0,74000000.0,74000000.0,74000000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,,,5010000000.0,,,,4672000000.0,4555000000.0,4555000000.0,4555000000.0
IntangibleAssetsNetExcludingGoodwill / USD,,1520000000.0,1520000000.0,1520000000.0,1520000000.0,1253000000.0,1253000000.0,1253000000.0,1253000000.0,1078000000.0,1078000000.0,1078000000.0
InterestAndDebtExpense / USD,,4000000.0,16000000.0,18000000.0,40000000.0,136000000.0,273000000.0,411000000.0,77000000.0,122000000.0,254000000.0,383000000.0
InterestExpenseLongTermDebt / USD,,,,,54000000.0,,,,54000000.0,,,
InterestPaidNet / USD,,0.0,0.0,0.0,21000000.0,42000000.0,250000000.0,318000000.0,0.0,55000000.0,274000000.0,339000000.0
InterestPayableCurrent / USD,,,,,52000000.0,87000000.0,87000000.0,87000000.0,87000000.0,92000000.0,92000000.0,92000000.0
InventoryFinishedGoodsNetOfReserves / USD,,1011000000.0,1011000000.0,1011000000.0,1011000000.0,908000000.0,908000000.0,908000000.0,908000000.0,926000000.0,926000000.0,926000000.0
InventoryNet / USD,,2155000000.0,2155000000.0,2155000000.0,2155000000.0,1960000000.0,1960000000.0,1960000000.0,1960000000.0,1939000000.0,1939000000.0,1939000000.0
InventoryNoncurrent / USD,,,,,104000000.0,147000000.0,147000000.0,147000000.0,147000000.0,139000000.0,139000000.0,139000000.0
InventoryRawMaterialsNetOfReserves / USD,,1053000000.0,1053000000.0,1053000000.0,1053000000.0,961000000.0,961000000.0,961000000.0,961000000.0,921000000.0,921000000.0,921000000.0
InventoryWorkInProcessNetOfReserves / USD,,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,92000000.0,92000000.0,92000000.0
InvestmentIncomeNet / USD,,-2000000.0,-12000000.0,-8000000.0,34000000.0,13000000.0,13000000.0,19000000.0,-9000000.0,-16000000.0,-15000000.0,-11000000.0
LeaseCost / USD,,,,,185000000.0,,,,217000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,426000000.0,,,,425000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,52000000.0,,,,41000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,124000000.0,,,,129000000.0,,,
