Rank,Company,Symbol,Weight,Price,Change,Percent_Change
90,Old Dominion Freight Line,ODFL,0.10,164.42,5.23,3.29
91,Verisk,VRSK,0.09,220.77,-0.26,-0.12
92,Kraft Heinz,KHC,0.08,23.87,-0.52,-2.14
93,CoStar Group,CSGP,0.08,65.93,0.24,0.37
94,Charter Communications,CHTR,0.08,211.02,1.74,0.83
95,DexCom,DXCM,0.08,66.59,0.04,0.07
96,Biogen,BIIB,0.08,172.68,-5.14,-2.89
97,Lululemon Athletica,LULU,0.08,215.74,4.93,2.34
98,Onsemi,ON,0.07,59.73,3.03,5.35
99,GlobalFoundries,GFS,0.06,37.92,1.05,2.85
100,Trade Desk (The),TTD,0.06,39.32,1.64,4.34
101,CDW Corporation,CDW,0.05,134.94,1.78,1.34
